"","Overall"
"n","3782"
"Sex = Male (%)","1194 (31.6)"
"Age (mean (SD))","51.86 (6.50)"
"White British Ancestry = 1 (%)","3090 (81.7)"
"C Reactive Protein (mean (SD))","3.11 (5.27)"
"Townsend Deprivation Index (mean (SD))","-0.85 (3.24)"
"Pooled Cohort Equation Risk (mean (SD))","0.03 (0.01)"
"LE8 Diet Score (mean (SD))","51.79 (32.64)"
"LE8 PA Score (mean (SD))","31.51 (28.44)"
"LE8 Smoking Score (mean (SD))","87.27 (26.82)"
"LE8 Sleep Health Points (mean (SD))","86.66 (21.63)"
"LE8 BMI Points (mean (SD))","66.98 (30.37)"
"LE8 Blood Lipid Points (mean (SD))","48.45 (27.76)"
"LE8 HbA1c Score (mean (SD))","94.78 (14.40)"
"LE8 BP Score (mean (SD))","55.62 (26.48)"
"LE8 Composite Score (mean (SD))","65.38 (10.41)"
