"","Overall"
"n","37615"
"Sex = Male (%)","26861 (71.4)"
"Age (mean (SD))","61.73 (5.95)"
"White British Ancestry = 1 (%)","32203 (85.6)"
"C Reactive Protein (mean (SD))","3.24 (5.06)"
"Townsend Deprivation Index (mean (SD))","-0.98 (3.24)"
"Pooled Cohort Equation Risk (mean (SD))","0.15 (0.08)"
"LE8 Diet Score (mean (SD))","48.29 (32.42)"
"LE8 PA Score (mean (SD))","31.46 (29.26)"
"LE8 Smoking Score (mean (SD))","77.61 (34.40)"
"LE8 Sleep Health Points (mean (SD))","87.21 (21.54)"
"LE8 BMI Points (mean (SD))","59.39 (28.89)"
"LE8 Blood Lipid Points (mean (SD))","49.49 (30.20)"
"LE8 HbA1c Score (mean (SD))","80.18 (28.60)"
"LE8 BP Score (mean (SD))","38.11 (25.15)"
"LE8 Composite Score (mean (SD))","58.97 (11.53)"
