Exposure,OR,CI_lower,CI_upper,P_value
df1,1.23211096090387,1.22071289315347,1.24361545494761,0
df2,1.2289874872189,1.2174603847716,1.24062373004768,0
df3,1.26947582749051,1.25743723112244,1.28162968034925,0
df4,1.46548295312921,1.45141665700476,1.47968557171194,0
df5,1.49465745941353,1.48022361108404,1.50923205403029,0
df6,1.31662661618542,1.30421477710835,1.32915657518566,0
df7,1.20856514242476,1.19721682007733,1.22002103461079,0
df8,1.43205848626437,1.4184710446205,1.44577608112577,0
df9,1.23225452703812,1.22072771633548,1.24389018049347,0
df10,1.19750350649219,1.18626677045204,1.20884668084789,2.7290955995487e-307
df11,1.44496116534066,1.43110011960991,1.45895646344559,0
df12,2.32237845340752,2.29879892912552,2.34619984049809,0
df13,2.13376891896814,2.1118405436865,2.15592498835478,0
df14,1.1129002126518,1.10248372705569,1.12341511527622,4.11850126981568e-110
df15,1.36549680431849,1.3525045578119,1.3786138551877,0
df16,1.34218222707638,1.32927971952458,1.35520997140014,0
df17,1.32079394136652,1.30823917630662,1.33346919060741,0
df18,1.32143043813476,1.30888238811974,1.33409878433574,0
df19,1.37997383857647,1.36686741743684,1.39320593267669,0
df20,1.32131017911849,1.30877168619595,1.33396879521181,0
df21,1.4343767229678,1.4207577346342,1.44812625913423,0
df22,1.57545229108586,1.56031759528361,1.59073378970422,0
df23,1.49143258329043,1.47701537980335,1.50599051365092,0
df24,1.47739581357255,1.46310135084024,1.49182993283973,0
df25,2.06399788241141,2.04301725404243,2.08519396993322,0
df26,2.08593877035066,2.06488745837259,2.10720469825572,0
df27,1.41963166368776,1.40605152500015,1.43334296411694,0
df28,1.24335982297395,1.23160022818248,1.25523170101001,0
df29,1.33775215095225,1.32505359703023,1.35057240053403,0
df30,1.46243912436008,1.44841284173646,1.47660123607784,0
df31,1.3929473186665,1.37977606288967,1.40624430642506,0
df32,1.50273641310168,1.48819284360874,1.51742211163018,0
df33,2.27217487417727,2.24838826879237,2.2962131276443,0
df34,1.48301506853904,1.46891021712015,1.49725535834704,0
df35,2.0458431339566,2.02484444574524,2.06705958946734,0
df36,1.73439568944752,1.71717547369807,1.75178859333221,0
df37,1.6875723484318,1.67090370629102,1.70440727402134,0
df38,1.62816459879203,1.61217677757295,1.64431096988659,0
df39,1.86266033282954,1.84404294999596,1.88146567600513,0
df40,1.70163053629985,1.68531120807915,1.71810788902802,0
df41,2.04923036610727,2.02888609326873,2.06977863730664,0
df42,1.80760932983574,1.79002967476954,1.82536163247119,0
df43,1.82926234846162,1.81145051374058,1.84724932539809,0
df44,1.93987166571884,1.92076769022152,1.95916564955589,0
df45,1.25164910019038,1.24002823363432,1.26337887115349,0
df46,1.906801933856,1.888426118557,1.92535655974472,0
df47,1.99299009168105,1.97325887350712,2.01291860833206,0
df48,1.86298453923746,1.8447717260555,1.88137716142197,0
df49,1.86754391666229,1.8490353839885,1.88623771662988,0
df50,1.30501006925855,1.29266604820931,1.31747196673525,0
df51,1.22919722279833,1.21762506684923,1.24087935906647,0
df52,2.34183613673129,2.317118594938,2.36681734947937,0
df53,2.50621840176807,2.47941181346839,2.53331481411891,0
df54,2.08670617678744,2.06523395384012,2.10840164628629,0
df55,2.05299488730892,2.03209748704608,2.07410718933732,0
df56,1.76307455494937,1.74559775201532,1.78072633441535,0
df57,2.16457256854526,2.14212863298703,2.18725165816268,0
df58,2.04958758126877,2.02859032619544,2.07080217185579,0
