PRS,Total,British_White,Non_British_White
PGS000010,1.232110961,1.235161096,1.214298825
PGS000011,1.228987487,1.232366881,1.210719927
PGS000012,1.269475827,1.273712819,1.244653558
PGS000013,1.465482953,1.480668092,1.387010412
PGS000018,1.494657459,1.499389474,1.463916704
PGS000019,1.316626616,1.322137834,1.285102164
PGS000057,1.208565142,1.213006045,1.186327086
PGS000058,1.432058486,1.440841041,1.382152452
PGS000059,1.232254527,1.235511528,1.214882597
PGS000200,1.197503506,1.200121572,1.18473612
PGS000296,1.444961165,1.449959227,1.415162538
PGS000329,2.322378453,2.491586903,1.490734658
PGS000337,2.133768919,2.125021077,2.183788848
PGS000349,1.112900213,1.116176991,1.095260376
PGS000746,1.365496804,1.36926732,1.340733205
PGS000747,1.342182227,1.343717022,1.329161349
PGS000748,1.320793941,1.323841098,1.300231084
PGS000749,1.321430438,1.326038527,1.292435961
PGS000798,1.379973839,1.389011285,1.330043869
PGS000818,1.321310179,1.326764137,1.29229388
PGS000899,1.434376723,1.443717096,1.382246079
PGS000962,1.575452291,1.622924167,1.327289391
PGS001355,1.491432583,1.501819518,1.435613586
PGS001780,1.477395814,1.487736607,1.421036636
PGS001839,2.063997882,2.131910282,1.7292959
PGS002048,2.08593877,2.150440012,1.762930537
PGS002244,1.419631664,1.428378141,1.370842864
PGS002262,1.243359823,1.252008003,1.199411331
PGS002775,1.337752151,1.343155612,1.306112461
PGS002776,1.462439124,1.470378287,1.413800453
PGS002809,1.392947319,1.397933664,1.363662703
PGS003355,1.502736413,1.510445071,1.458222279
PGS003356,2.272174874,2.284376762,2.206404217
PGS003438,1.483015069,1.49053486,1.44091719
PGS003446,2.045843134,2.103123088,1.796325184
PGS003725,1.734395689,1.746803721,1.664782747
PGS003726,1.687572348,1.698296023,1.628342523
PGS003727,1.628164599,1.638690965,1.571167123
PGS003866,1.862660333,1.870315663,1.820182731
PGS004196,1.701630536,1.742677878,1.502936674
PGS004197,2.049230366,2.132254091,1.681118136
PGS004198,1.80760933,1.866766318,1.54104324
PGS004199,1.829262348,1.88613711,1.566739476
PGS004200,1.939871666,2.009130249,1.626727729
PGS004321,1.2516491,1.255638493,1.228390571
PGS004443,1.906801934,1.987571212,1.466874312
PGS004444,1.992990092,2.088679382,1.495180363
PGS004513,1.862984539,1.928005053,1.503383297
PGS004514,1.867543917,1.933095666,1.510445807
PGS004595,1.305010069,1.313891101,1.259448344
PGS004596,1.229197223,1.23307567,1.210077866
PGS004696,2.341836137,2.368090179,2.213646806
PGS004697,2.506218402,2.495296777,2.5707045
PGS004698,2.086706177,2.125877239,1.896204413
PGS004743,2.052994887,2.089292927,1.850950609
PGS004744,1.763074555,1.778886456,1.674105933
PGS004745,2.164572569,2.196340074,1.988156877
PGS004746,2.049587581,2.079748831,1.883991171
