Exposure,OR,CI_lower,CI_upper,P_value
df1,1.2142988246218,1.18455404341902,1.24479051307944,3.81570238322947e-53
df2,1.21071992715574,1.18167774143764,1.24047588493005,9.39236798568559e-54
df3,1.24465355820668,1.21454143548829,1.27551225070698,1.09563737153479e-68
df4,1.38701041152977,1.35400730706993,1.42081794658486,3.37273316773817e-156
df5,1.46391670363066,1.42682038180505,1.50197750361382,3.2968203708357e-186
df6,1.28510216384958,1.25360238219735,1.31739345344582,2.4021458213383e-87
df7,1.18632708626246,1.15778061602849,1.21557740397112,5.1542229077301e-43
df8,1.38215245208934,1.34831737882991,1.41683659263845,1.77689318911463e-144
df9,1.21488259708167,1.1854285124254,1.24506852097906,1.73541998327292e-54
df10,1.18473611971712,1.15641870032366,1.21374695252639,6.33768064504152e-43
df11,1.41516253832994,1.38015391426395,1.45105918201919,1.4575027425353e-162
df12,1.49073465831795,1.45121567312343,1.53132981035639,1.63607092967354e-186
df13,2.18378884806607,2.12574064521538,2.2434221896597,0
df14,1.09526037554199,1.0689829906065,1.12218370242895,2.07308234879571e-13
df15,1.34073320496408,1.30705408608511,1.37528014030186,5.45146008629521e-113
df16,1.32916134938514,1.29517711365426,1.3640372996669,7.67994179549908e-103
df17,1.30023108439931,1.2679433561774,1.33334100817803,4.51492293353632e-93
df18,1.29243596109675,1.26036088324158,1.32532732152075,4.76006427059455e-89
df19,1.33004386863604,1.29771098216828,1.36318233936847,3.18667514325061e-114
df20,1.29229388033351,1.26102891911737,1.3243340004576,1.39317203368367e-93
df21,1.38224607949316,1.34839449582974,1.41694751067528,2.04745574416894e-144
df22,1.32728939100439,1.29462509237841,1.36077783278271,6.99262758625086e-110
df23,1.43561358627164,1.40063833664367,1.47146220060379,1.40517645452422e-181
df24,1.42103663551536,1.38654177401266,1.45638967200593,7.75347202672177e-173
df25,1.72929590036925,1.68550205807705,1.77422762357564,0
df26,1.76293053670231,1.71831335293736,1.80870623621977,0
df27,1.37084286443591,1.33747537999165,1.40504280459098,6.61299795684897e-139
df28,1.19941133079658,1.17100587156025,1.22850583022821,5.20126408727296e-50
df29,1.30611246141823,1.27359296150322,1.33946230344935,9.92781614766511e-96
df30,1.41380045251845,1.3781335971316,1.4503903857374,1.83277303156332e-155
df31,1.36366270306551,1.33002371236269,1.39815249190448,7.47213453968848e-131
df32,1.45822227868477,1.42199205710871,1.49537559188351,8.14394211400163e-190
df33,2.20640421685674,2.14857617199867,2.26578867978166,0
df34,1.4409171903581,1.40580136257818,1.47691018428219,3.87136775139877e-185
df35,1.79632518399599,1.75341902287478,1.84028125882187,0
df36,1.6647827474572,1.62264107085344,1.70801888724132,0
df37,1.62834252337026,1.5874063507407,1.67033436156949,0
df38,1.57116712277003,1.53213974611029,1.61118862293111,1.59063409634755e-271
df39,1.82018273062955,1.77421700382167,1.86733931968057,0
df40,1.50293667370547,1.46753814161781,1.53918905486077,4.29323954478118e-246
df41,1.68111813622165,1.64141752684139,1.72177897562223,0
df42,1.54104324027973,1.50519409805461,1.57774619996263,5.60480921444601e-284
df43,1.56673947578199,1.52988298062505,1.60448388279393,3.77866664865971e-299
df44,1.62672772937453,1.58839885820896,1.66598149566781,0
df45,1.22839057082731,1.1984060040457,1.25912536269294,7.73494000126011e-60
df46,1.46687431200586,1.42973996430113,1.50497314263328,1.54041279329471e-188
df47,1.49518036328568,1.45690393360577,1.53446240839105,5.28479374705219e-203
df48,1.50338329728167,1.4646531798983,1.54313756291605,6.97465080299788e-206
df49,1.51044580651553,1.47123459177288,1.55070207509949,2.19947258940585e-207
df50,1.25944834443332,1.22930824415745,1.2903274177446,9.43939674176333e-78
df51,1.21007786580475,1.1808458649214,1.24003350886785,9.82572717017422e-53
df52,2.21364680635987,2.15680746140748,2.27198406486849,0
df53,2.57070450034583,2.50079356381745,2.64256983211779,0
df54,1.89620441341018,1.84887482440278,1.94474559877124,0
df55,1.85095060926221,1.80240080705198,1.90080815794339,0
df56,1.67410593253119,1.63147279105431,1.71785315005161,0
df57,1.98815687685958,1.93489332599143,2.04288666145389,0
df58,1.88399117083583,1.8346569198966,1.93465202855877,0
