Exposure,OR,CI_lower,CI_upper,P_value
df1,1.2351610961838,1.22283988850706,1.24760645106905,0
df2,1.23236688119261,1.21982789388086,1.24503476062397,0
df3,1.2737128185368,1.26060244658456,1.28695953946504,0
df4,1.48066809213467,1.46516006166956,1.49634026781177,0
df5,1.49938947431829,1.48374377973902,1.51520014870216,0
df6,1.32213783441926,1.30865516657052,1.33575941000854,0
df7,1.2130060450838,1.20065389185096,1.22548527547894,2.60020507254645e-299
df8,1.44084104075725,1.42603266802212,1.45580318830271,0
df9,1.23551152767329,1.22300292937431,1.24814806109627,0
df10,1.20012157178289,1.18789670085762,1.21247225118041,3.48773460699295e-267
df11,1.44995922662809,1.43488942018157,1.46518730245978,0
df12,2.49158690284061,2.4639193483275,2.51956513861576,0
df13,2.12502107672066,2.10137956151709,2.14892857016603,0
df14,1.11617699051081,1.10484778760841,1.12762236402046,5.67137900721285e-99
df15,1.36926732041022,1.35521031667182,1.38347013129874,0
df16,1.34371702197893,1.32978331694201,1.35779672684423,0
df17,1.32384109751313,1.31023879692334,1.33758461097325,0
df18,1.32603852739185,1.31242803175378,1.33979017026774,0
df19,1.38901128529298,1.37470174642777,1.40346977494193,0
df20,1.32676413687133,1.31309832417148,1.34057217383063,0
df21,1.44371709634532,1.42886747077973,1.45872104789561,0
df22,1.62292416654656,1.60599391983914,1.64003289042629,0
df23,1.50181951805902,1.48602669490637,1.51778018023097,0
df24,1.48773660691353,1.47206089491015,1.50357924675779,0
df25,2.13191028181419,2.1082424714821,2.15584379462287,0
df26,2.15044001168353,2.12676780957483,2.17437569960866,0
df27,1.42837814140404,1.41353979786334,1.44337224740672,0
df28,1.25200800256335,1.23911200422951,1.26503821537696,0
df29,1.34315561158471,1.32938385747126,1.35707003420604,0
df30,1.47037828687735,1.45514996141543,1.48576597866062,0
df31,1.39793366364834,1.38364309856457,1.4123718247781,0
df32,1.51044507060271,1.4945886780569,1.52646968681317,0
df33,2.28437676157895,2.258328348587,2.31072562681462,0
df34,1.49053485980817,1.4751604817642,1.50606947228301,0
df35,2.10312308847195,2.07926946065536,2.1272503679584,0
df36,1.74680372095868,1.72797518614483,1.76583741712328,0
df37,1.69829602258298,1.68007965064821,1.71670990670495,0
df38,1.63869096488073,1.62119660921599,1.65637410238624,0
df39,1.87031566251527,1.8499931064417,1.89086146606145,0
df40,1.74267787791914,1.72439113005615,1.76115855228846,0
df41,2.13225409130367,2.10892340946633,2.15584287673669,0
df42,1.86676631792201,1.84679183479172,1.88695684054782,0
df43,1.88613711041222,1.86596991786196,1.90652226770643,0
df44,2.00913024863586,1.98735886611948,2.03114013518127,0
df45,1.25563849290652,1.2430515669055,1.26835287195161,0
df46,1.98757121187902,1.96679503637528,2.00856685583808,0
df47,2.08867938167347,2.06618673890701,2.11141688080702,0
df48,1.92800505260913,1.90758262390685,1.94864612221791,0
df49,1.93309566620711,1.91232143288734,1.95409557747129,0
df50,1.31389110124751,1.30038151416121,1.32754103863966,0
df51,1.23307566989994,1.22048922810554,1.24579191088747,0
df52,2.36809017913172,2.3407134362596,2.39578711756417,0
df53,2.49529677706443,2.46630783183955,2.52462645791622,0
df54,2.1258772385404,2.10190098819017,2.15012698444731,0
df55,2.08929292724657,2.06623481094785,2.11260836024735,0
df56,1.77888645595906,1.75976816655449,1.79821244828537,0
df57,2.19634007404972,2.17166154695792,2.22129904525597,0
df58,2.07974883096143,2.05662056080764,2.10313719619085,0
