,level,Overall
n,,132
Sex (%),Female,62 (47.0)
,Male,70 (53.0)
Age (mean (SD)),,46.19 (3.95)
Townsend Deprivation Index (mean (SD)),,0.15 (3.53)
LE8 Diet Score (mean (SD)),,45.63 (34.10)
LE8 PA Score (mean (SD)),,34.13 (32.03)
LE8 Smoking Score (mean (SD)),,78.17 (37.68)
LE8 Sleep Health Points (mean (SD)),,87.38 (21.47)
LE8 BMI Points (mean (SD)),,61.11 (32.56)
LE8 Blood Lipid Points (mean (SD)),,55.40 (30.90)
LE8 HbA1c Score (mean (SD)),,95.08 (14.24)
LE8 BP Score (mean (SD)),,56.75 (28.88)
LE8 Composite Score (mean (SD)),,64.21 (11.94)
Race (%),Black,1 (0.8)
,Other,6 (4.5)
,South Asian,7 (5.3)
,White,118 (89.4)
Alcohol intake frequency (%),1-2x/wk,36 (27.3)
,1-3x/mo,12 (9.1)
,3-4x/wk,25 (18.9)
,Daily or almost Daily,17 (12.9)
,Never,27 (20.5)
,Special Occasions Only,15 (11.4)
Chronic Kidney Disease (%),0,126 (95.5)
,1,6 (4.5)
Rheumatoid arthritis (%),0,131 (99.2)
,1,1 (0.8)
Pooled Cohort Equation Risk (mean (SD)),,0.02 (0.01)
Apolipoprotein B (mean (SD)),,0.98 (0.20)
Lipoprotein A (mean (SD)),,33.37 (37.11)
Age of CAD Onset (mean (SD)),,49.99 (4.94)
C Reactive Protein (mean (SD)),,2.87 (4.49)
