"variable","p_value"
"Age",0.289529479805588
"Townsend Deprivation Index",0.073641843706454
"LE8 Diet Score",0.253398381974596
"LE8 PA Score",0.910092106335316
"LE8 Smoking Score",0.108179731089208
"LE8 Sleep Health Points",0.69558540797546
"LE8 BMI Points",0.678691744702907
"LE8 Blood Lipid Points",2.68359996299896e-05
"LE8 HbA1c Score",0.325265132800068
"LE8 BP Score",0.0804209752283582
"LE8 Composite Score",0.300138365159731
"Pooled Cohort Equation Risk",0.0136922942199512
"Apolipoprotein B",4.20354760434079e-07
"Lipoprotein A",7.04481017273869e-11
"C Reactive Protein",0.538223523778986
"Age of CAD Onset",0.605188641226984
