PRS,OR,new OR,all_percentage,new percentage,UKB_HR_ranking,UKB_percentage_ranking,Method,Group
PGS004697,2.506218402,1,0.330861909,1,1,5,PRS-CSx,multi-ancestry
PGS004696,2.341836137,2,0.308619092,2,4,4,PRS-CSx,multi-ancestry
PGS000329,2.322378453,3,0.308619092,3,2,2,LDpred,/
PGS003356,2.272174874,4,0.288229842,4,7,7,Ldpred,multi-ancestry
PGS000337,2.133768919,6,0.287303058,5,11,6,P-value thresholding,multi-ancestry
PGS004444,1.992990092,14,0.28544949,6,3,1,LDpred2,/
PGS003446,2.045843134,13,0.273401297,7,18,9,PRSice,multi-ancestry
PGS004197,2.049230366,12,0.265987025,8,8,8,LASSO ,/
PGS004698,2.086706177,7,0.265060241,9,15,12,Pruning and Thresholding (P+T),multi-ancestry
PGS004746,2.049587581,11,0.253012048,10,16,29,PRSmixPlus,multi-trait
PGS004443,1.906801934,16,0.25115848,11,9,10,LDpred2,/
PGS004514,1.867543917,17,0.25115848,12,13,11,RFDiseasemetaPRS,multi-trait
PGS001839,2.063997882,9,0.250231696,13,6,13,Penalize regression (bigstatsr),/
PGS004743,2.052994887,10,0.24652456,14,12,19,PRSmix,multi-method
PGS004513,1.862984539,18,0.240037071,15,17,20,RFDiseasemetaPRS,multi-trait
PGS002048,2.08593877,8,0.235403151,16,5,15,LDpred2 (bigsnpr),/
PGS004745,2.164572569,5,0.234476367,17,10,24,PRSmix,multi-method
PGS004200,1.939871666,15,0.234476367,18,14,17,LASSO ,/
PGS003866,1.862660333,19,0.234476367,19,21,3,lassosum2,/
PGS004198,1.80760933,21,0.217794254,20,20,16,LASSO ,/
PGS004199,1.829262348,20,0.213160334,21,19,14,LASSO ,/
PGS004744,1.763074555,22,0.21223355,22,22,32,PRSmix,multi-method
PGS003355,1.502736413,28,0.197405005,23,28,21,LDpred,multi-ancestry
PGS004196,1.701630536,24,0.193697868,24,23,18,LASSO ,/
PGS003725,1.734395689,23,0.1918443,25,25,50,LDpred2,multi-ancestry
PGS003727,1.628164599,26,0.189063948,26,26,47,LDpred2,/
PGS003726,1.687572348,25,0.18721038,27,24,51,LDpred2,multi-ancestry
PGS000018,1.494657459,29,0.186283596,28,32,33,metaGRS,"multi-ancestry, multi-method"
PGS001780,1.477395814,32,0.183503244,29,30,23,PRS-CS,multi-ancestry
PGS000013,1.465482953,33,0.183503244,30,31,30,LDpred,multi-ancestry
PGS002776,1.462439124,34,0.176088971,31,34,35,Stacked clumping and thresholding (SCT),multi-ancestry
PGS000747,1.342182227,42,0.172381835,32,47,25,LD clumping,multi-ancestry
PGS000962,1.575452291,27,0.169601483,33,27,22,snpnet,/
PGS000296,1.444961165,35,0.169601483,34,37,31,LDpred,multi-ancestry
PGS001355,1.491432583,30,0.168674699,35,29,49,AnnoPred,/
PGS002244,1.419631664,38,0.164967563,36,38,42,LDpred,multi-ancestry
PGS000746,1.365496804,41,0.159406858,37,41,40,LD clumping,multi-ancestry
PGS000899,1.434376723,36,0.155699722,38,35,26,"Two sets of SNPS: (1) genome-wide significant SNPs, (2) SNPs in low linkage disequilibrium",multi-ancestry
PGS002775,1.337752151,43,0.155699722,39,43,46,Maximum clumping and thresholding (maxCT),multi-ancestry
PGS000798,1.379973839,40,0.153846154,40,40,28,genome-wide significant variants,/
PGS000058,1.432058486,37,0.151065802,41,36,39,genome-wide significant variants,multi-ancestry
PGS000749,1.321430438,44,0.148285449,42,46,45,genome-wide significant variants,multi-ancestry
PGS000748,1.320793941,46,0.146431881,43,48,41,genome-wide significant variants,multi-ancestry
PGS000059,1.232254527,52,0.145505097,44,50,27,literature-derived SNP selection,multi-ancestry
PGS003438,1.483015069,31,0.142724745,45,33,36,Genome-wide significant SNPs,multi-ancestry
PGS000019,1.316626616,47,0.142724745,46,42,38,genome-wide significant variants,multi-ancestry
PGS002809,1.392947319,39,0.140871177,47,39,43,Genome-wide significant SNPs,multi-ancestry
PGS004321,1.2516491,50,0.139017609,48,49,44,Genome-wide significant SNPs,multi-ancestry
PGS000012,1.269475827,49,0.138090825,49,53,54,LD thining,multi-ancestry
PGS002262,1.243359823,51,0.129749768,50,52,55,metaPRS,"multi-ancestry, multi-trait"
PGS000818,1.321310179,45,0.128822984,51,44,34,genome-wide significant variants,multi-ancestry
PGS004595,1.305010069,48,0.125115848,52,45,56,Genome-wide significant SNPs,/
PGS000010,1.232110961,53,0.125115848,53,51,53,genome-wide significant variants,/
PGS000057,1.208565142,56,0.120481928,54,57,48,Hard thresholding,multi-ancestry
PGS004596,1.229197223,54,0.11862836,55,54,52,Genome-wide significant SNPs,multi-ancestry
PGS000011,1.228987487,55,0.114921223,56,55,37,genome-wide significant variants,multi-ancestry
PGS000200,1.197503506,57,0.112140871,57,56,57,genome-wide significant variants,multi-ancestry
PGS000349,1.112900213,58,0.107506951,58,58,58,genome-wide significant variants,multi-ancestry
,,29.5,0.19350612,29.5,,,,
