"","Overall"
"n","1184"
"Sex = Male (%)","612 (51.7)"
"Age (mean (SD))","46.18 (4.24)"
"White British Ancestry = 1 (%)","934 (78.9)"
"C Reactive Protein (mean (SD))","3.04 (4.94)"
"Townsend Deprivation Index (mean (SD))","-0.21 (3.49)"
"Pooled Cohort Equation Risk (mean (SD))","0.03 (0.01)"
"LE8 Diet Score (mean (SD))","47.30 (32.34)"
"LE8 PA Score (mean (SD))","32.60 (28.88)"
"LE8 Smoking Score (mean (SD))","85.60 (30.82)"
"LE8 Sleep Health Points (mean (SD))","85.96 (22.42)"
"LE8 BMI Points (mean (SD))","63.23 (30.46)"
"LE8 Blood Lipid Points (mean (SD))","49.40 (28.77)"
"LE8 HbA1c Score (mean (SD))","95.35 (14.20)"
"LE8 BP Score (mean (SD))","53.68 (26.73)"
"LE8 Composite Score (mean (SD))","64.14 (10.66)"
"Family Heart Disease History (%)",""
"   both_parents","109 (9.2)"
"   father","309 (26.1)"
"   mother","137 (11.6)"
"   no_history","629 (53.1)"
"Familial Hypercholesterolemia Variant Status = 1 (%)","3 (100.0)"
