PRS,Group,OR,CI_lower,CI_upper
PGS000010,Total,1.230562744,1.219187794,1.242043823
PGS000011,Total,1.229615224,1.21808744,1.241252105
PGS000012,Total,1.274283867,1.262242451,1.286440154
PGS000013,Total,1.463364959,1.449349986,1.477515455
PGS000018,Total,1.493828033,1.479461016,1.508334567
PGS000019,Total,1.317195857,1.304786702,1.32972303
PGS000057,Total,1.20789674,1.196561979,1.219338872
PGS000058,Total,1.432386759,1.418805085,1.446098446
PGS000059,Total,1.231732363,1.220217579,1.243355807
PGS000200,Total,1.19707449,1.185848481,1.208406771
PGS000296,Total,1.441821393,1.4280365,1.455739351
PGS000329,Total,2.322948449,2.299379019,2.346759474
PGS000337,Total,2.129209461,2.107365395,2.151279954
PGS000349,Total,1.112826742,1.102416827,1.123334956
PGS000746,Total,1.366042054,1.353059753,1.379148918
PGS000747,Total,1.334414423,1.321753382,1.347196744
PGS000748,Total,1.316220697,1.303766174,1.328794195
PGS000749,Total,1.31674921,1.304297168,1.32932013
PGS000798,Total,1.380657587,1.367553537,1.393887201
PGS000818,Total,1.321413871,1.308881365,1.334066375
PGS000899,Total,1.435571088,1.421948898,1.449323778
PGS000962,Total,1.576467149,1.561331746,1.591749274
PGS001355,Total,1.489741251,1.475370796,1.504251677
PGS001780,Total,1.473127157,1.458943614,1.487448589
PGS001839,Total,2.066373673,2.045378634,2.087584218
PGS002048,Total,2.087830854,2.066771647,2.109104641
PGS002244,Total,1.416630794,1.403115293,1.430276482
PGS002262,Total,1.244532034,1.232769769,1.256406527
PGS002775,Total,1.336125712,1.323456502,1.348916202
PGS002776,Total,1.460327267,1.446362713,1.474426648
PGS002809,Total,1.391807415,1.378658476,1.405081762
PGS003355,Total,1.496773545,1.482387588,1.511299111
PGS003356,Total,2.268728012,2.245113391,2.292591018
PGS003438,Total,1.483928279,1.469824365,1.498167529
PGS003446,Total,2.042774701,2.021826377,2.063940072
PGS003725,Total,1.735400152,1.718196987,1.75277556
PGS003726,Total,1.690480854,1.673824844,1.707302606
PGS003727,Total,1.631734142,1.615785993,1.647839702
PGS003866,Total,1.863122979,1.844512393,1.881921341
PGS004196,Total,1.703868429,1.687543768,1.720351007
PGS004197,Total,2.051252744,2.030910551,2.071798691
PGS004198,Total,1.810693288,1.793099017,1.828460196
PGS004199,Total,1.832320657,1.814499641,1.850316701
PGS004200,Total,1.942366933,1.923257325,1.961666415
PGS004321,Total,1.250917798,1.23931158,1.262632709
PGS004443,Total,1.903592391,1.885267368,1.922095536
PGS004444,Total,1.989718558,1.970042376,2.009591259
PGS004513,Total,1.860814072,1.842642578,1.879164767
