Exposure,OR,CI_lower,CI_upper,P_value
df1,1.21277248132864,1.18310969179005,1.24317897290038,1.23088846501985e-52
df2,1.21295687009096,1.18389291516886,1.24273432998035,7.03373506772495e-55
df3,1.24915204451948,1.21922472929809,1.27981396114358,2.75265459524063e-72
df4,1.38687322448728,1.35421445952397,1.42031960098541,2.22248888085669e-159
df5,1.45947015114822,1.42332314581582,1.49653515321125,7.07197157479214e-192
df6,1.28613701949143,1.25467705911914,1.31838581161882,2.95250972532625e-88
df7,1.1841503617071,1.1556978983403,1.2133033045615,2.9839569883369e-42
df8,1.38386424742529,1.35006794307356,1.41850657600395,2.90546826275624e-146
df9,1.2131527980319,1.18377947384507,1.2432549675762,7.39423268936126e-54
df10,1.1847027550063,1.15642405554897,1.21367296969039,5.05582811497401e-43
df11,1.40999992975221,1.37576540339638,1.44508634756564,2.86909407809782e-165
df12,1.49086430958483,1.4514266520201,1.53137355339336,2.13122434115894e-187
df13,2.17337073588801,2.11599115025191,2.2323062906251,0
df14,1.09674283600594,1.07047485460294,1.12365539756326,8.26178750965827e-14
df15,1.34684871665161,1.31318466238119,1.38137576344881,1.25413396069295e-117
df16,1.30059619803835,1.26986785426536,1.33206810824454,5.93471334404829e-103
df17,1.29562349710764,1.26412928141991,1.32790235218025,1.53780410505433e-94
df18,1.28861130085448,1.25721409501261,1.32079260905297,2.80404028437707e-90
df19,1.33133705175437,1.29904377392068,1.3644331168491,1.7100530111132e-115
df20,1.29282444164774,1.26159240721678,1.32482965763015,3.77842832723599e-94
df21,1.38506287437194,1.35121007439661,1.41976381194473,8.50050321749499e-147
df22,1.33043860831455,1.29776570729352,1.36393409114301,3.64194293052694e-112
df23,1.43672159037698,1.40202535031456,1.47227646617962,1.40313195466138e-185
df24,1.4126300837338,1.37921559134904,1.44685411474932,5.33453863519749e-176
df25,1.73088338805728,1.68711513937634,1.77578710138309,0
df26,1.76288254890219,1.71834718124803,1.8085721646581,0
df27,1.36803497509828,1.33515057287304,1.40172931137268,1.32342151517124e-140
df28,1.2026982702016,1.17428117667365,1.23180304502821,1.0446804485774e-51
df29,1.30758060168559,1.27512689496126,1.34086029920685,3.98875242266089e-97
df30,1.41213415614911,1.37705030823821,1.44811185403546,3.23060033465129e-159
df31,1.36117324734342,1.32769176044426,1.39549906422817,4.42515615194184e-130
df32,1.43878619785774,1.40443889312938,1.47397350876071,2.07148546746107e-191
df33,2.17956346148214,2.12365299876942,2.2369459065962,0
df34,1.44328189602925,1.40818276568045,1.47925587656176,1.40507665445487e-187
df35,1.79334329965935,1.75064682125997,1.83708110132597,0
df36,1.67061822054381,1.62855636236888,1.71376643959271,0
df37,1.63435021075401,1.5936037039291,1.67613855615795,0
df38,1.57676472792157,1.53818531698284,1.61631175370615,2.80017624333123e-284
df39,1.8224586359361,1.77652628865595,1.86957857077976,0
df40,1.50383849465474,1.46851925996271,1.54000718932544,3.17786721807423e-248
df41,1.67938272112316,1.63984520283151,1.71987350948564,0
df42,1.54504570011803,1.50918658868781,1.58175684394915,1.04253588870745e-288
df43,1.569593610483,1.53280392974956,1.60726630083183,9.00418506889339e-304
df44,1.62782515992999,1.58957111684056,1.66699981097284,0
df45,1.2273368759833,1.19742153868328,1.25799959202746,1.59198861443512e-59
df46,1.45914370956994,1.42230482119688,1.49693675606463,1.9918460782325e-184
df47,1.48740292448992,1.44942436102782,1.52637662182822,7.35123326410517e-199
df48,1.49462862138427,1.45629621984708,1.53397000240489,6.82194204323969e-202
df49,1.50069061738244,1.46193555543558,1.54047305349839,4.23205332172453e-203
df50,1.25717257547138,1.22713453823201,1.28794588961242,8.32204500312857e-77
df51,1.21039737664231,1.18120845159146,1.24030759127119,4.6891254042777e-53
df52,2.20455043934151,2.14816369835499,2.26241726518446,0
df53,2.5387056611261,2.47014056732079,2.60917395515844,0
df54,1.89178769670526,1.84472615507035,1.94004984402084,0
df55,1.85272476956949,1.80442462784254,1.90231779084091,0
df56,1.67703125249057,1.63446039838206,1.72071089921426,0
df57,1.98739414216365,1.93436166865808,2.04188055434661,0
df58,1.87764602953672,1.82889993614215,1.92769136384343,0
