Exposure,OR,CI_lower,CI_upper,P_value
df1,1.23439790825902,1.2220878521315,1.2468319632313,0
df2,1.23218892473017,1.21965427014162,1.24485240071466,0
df3,1.27579197005236,1.26267808034565,1.28904205765933,0
df4,1.48052133056806,1.46501967685549,1.49618701024672,0
df5,1.50053497016472,1.48489478462753,1.51633989155132,0
df6,1.32262374524778,1.30913880468976,1.33624758904601,0
df7,1.21258082499903,1.20023652319612,1.22505208660032,2.10493665737963e-298
df8,1.44098757628438,1.42617980609668,1.45594909290503,0
df9,1.23534968919656,1.22284481737002,1.24798243646336,0
df10,1.19936849934456,1.18715529910619,1.21170734637924,1.54877436161833e-265
df11,1.44972229181321,1.43466051689973,1.46494219268114,0
df12,2.49233365666948,2.46466340549277,2.52031455586346,0
df13,2.12444678046348,2.10081822093792,2.14834109778744,0
df14,1.11605162262128,1.10472569708319,1.12749366439494,8.26928357554484e-99
df15,1.36967027948115,1.35561400224537,1.38387230538093,0
df16,1.34380094035429,1.32989286653843,1.35785446537313,0
df17,1.32299952623125,1.30941922557555,1.33672067144024,0
df18,1.32516458479354,1.31157565469992,1.33889430662908,0
df19,1.38935730209515,1.37504695617971,1.40381657819752,0
df20,1.32659657401,1.31293594837343,1.34039933353591,0
df21,1.44418209224262,1.42932996809271,1.45918854436207,0
df22,1.62335051343845,1.60641840111069,1.64046109510376,0
df23,1.50175732694963,1.48597262592915,1.51770970049784,0
df24,1.48756014477013,1.47189720310119,1.50338976094678,0
df25,2.13285760057895,2.10918618768337,2.15679467792452,0
df26,2.15121246501098,2.12754003825458,2.17514828694606,0
df27,1.42807897437282,1.41324941154694,1.44306414733503,0
df28,1.25180258166611,1.23891156079065,1.26482773513382,0
df29,1.34246549323018,1.32870556479543,1.35636791796774,0
df30,1.47055480985312,1.45533345263661,1.48593536750241,0
df31,1.39747953265328,1.38319711863106,1.41190942193232,0
df32,1.51064680692262,1.49480171630568,1.52665985753983,0
df33,2.28387559987691,2.25787991257546,2.31017058376827,0
df34,1.49092185531319,1.47554684004805,1.50645707633254,0
df35,2.10136784723418,2.07754318449976,2.12546572429148,0
df36,1.74577599780751,1.72697311116062,1.76478360596626,0
df37,1.69828051563781,1.68008329684218,1.71667483107294,0
df38,1.63907523270405,1.62160786675396,1.65673075072191,0
df39,1.87084234243764,1.85051809154955,1.89138981469063,0
df40,1.74391993033852,1.725626644037,1.76240714290147,0
df41,2.1337915235817,2.11045602893618,2.15738504080759,0
df42,1.86824618099413,1.84826404496644,1.88844434987779,0
df43,1.88772721427637,1.86755178976804,1.90812059673173,0
df44,2.0106248174208,1.98884751921851,2.03264057066423,0
df45,1.25521179124143,1.24263239458615,1.2679185314465,0
df46,1.98756168387827,1.96679405181438,2.00854860404767,0
df47,2.08803433862737,2.06556365211474,2.11074947742392,0
df48,1.9280167785502,1.90760858150354,1.94864330891258,0
df49,1.93255342567523,1.9118029200703,1.95352915506151,0
df50,1.3134177495236,1.29991558874926,1.32706015659328,0
df51,1.23259860738677,1.22002064213018,1.24530624685095,0
df52,2.36724495952723,2.33988778437334,2.39492198550362,0
df53,2.49277523503937,2.46383585289084,2.52205452937734,0
df54,2.1239104723901,2.09996619250641,2.14812777025912,0
df55,2.09034519402782,2.06728106568335,2.11366664297814,0
df56,1.77891610180205,1.75980209426016,1.79823771523639,0
df57,2.19687854082502,2.17220247622837,2.22183492374864,0
df58,2.07980707359945,2.05668612321305,2.1031879461688,0
