"","level","Overall"
"n","","228"
"Sex (%)","Female","89 (39.0)"
"","Male","139 (61.0)"
"Age (mean (SD))","","45.73 (3.91)"
"Smoking (%)","0","135 (59.2)"
"","1","73 (32.0)"
"","2","20 (8.8)"
"Townsend Deprivation Index (mean (SD))","","-0.53 (3.26)"
"LE8 Diet Score (mean (SD))","","49.84 (30.81)"
"LE8 PA Score (mean (SD))","","33.74 (28.48)"
"LE8 Smoking Score (mean (SD))","","84.57 (31.48)"
"LE8 Sleep Health Points (mean (SD))","","86.44 (21.56)"
"LE8 BMI Points (mean (SD))","","62.59 (30.91)"
"LE8 Blood Lipid Points (mean (SD))","","41.35 (26.50)"
"LE8 HbA1c Score (mean (SD))","","93.42 (16.42)"
"LE8 BP Score (mean (SD))","","51.24 (26.74)"
"LE8 Composite Score (mean (SD))","","62.90 (10.01)"
"Race (%)","Black","2 (0.9)"
"","Other","4 (1.8)"
"","South Asian","6 (2.6)"
"","White","216 (94.7)"
"Alcohol intake frequency (%)","1-2x/wk","70 (30.7)"
"","1-3x/mo","28 (12.3)"
"","3-4x/wk","44 (19.3)"
"","Daily or almost Daily","38 (16.7)"
"","Never","23 (10.1)"
"","Special Occasions Only","25 (11.0)"
"Chronic Kidney Disease (%)","0","222 (97.4)"
"","1","6 (2.6)"
"Rheumatoid arthritis (%)","0","219 (96.1)"
"","1","9 (3.9)"
"Pooled Cohort Equation Risk (mean (SD))","","0.03 (0.01)"
"Apolipoprotein B (mean (SD))","","1.09 (0.19)"
"Lipoprotein A (mean (SD))","","71.74 (57.97)"
"Age of CAD Onset (mean (SD))","","49.73 (3.94)"
"C Reactive Protein (mean (SD))","","3.20 (5.71)"
"Family Heart Disease History (%)","both_parents","24 (10.5)"
"","father","77 (33.8)"
"","mother","34 (14.9)"
"","no_history","93 (40.8)"
"Familial Hypercholesterolemia Variant Status (%)","1","1 (100.0)"
