"","Overall"
"n","48359"
"Sex = Male (%)","33031 (68.3)"
"Age (mean (SD))","60.94 (6.58)"
"White British Ancestry = 1 (%)","40972 (84.7)"
"Townsend Deprivation Index (mean (SD))","-0.93 (3.25)"
"Pooled Cohort Equation Risk (mean (SD))","0.14 (0.09)"
"LE8 Diet Score (mean (SD))","49.34 (32.55)"
"LE8 PA Score (mean (SD))","31.62 (29.19)"
"LE8 Smoking Score (mean (SD))","74.99 (35.34)"
"LE8 Sleep Health Points (mean (SD))","87.14 (21.56)"
"LE8 BMI Points (mean (SD))","60.84 (29.05)"
"LE8 Blood Lipid Points (mean (SD))","49.72 (30.85)"
"LE8 HbA1c Score (mean (SD))","81.31 (28.09)"
"LE8 BP Score (mean (SD))","39.28 (25.78)"
"LE8 Composite Score (mean (SD))","59.28 (11.68)"
