"","Overall"
"n","799"
"Sex = Male (%)","474 (59.3)"
"Age (mean (SD))","56.78 (7.89)"
"White British Ancestry = 1 (%)","659 (82.5)"
"Townsend Deprivation Index (mean (SD))","-1.17 (3.23)"
"Pooled Cohort Equation Risk (mean (SD))","0.06 (0.05)"
"LE8 Diet Score (mean (SD))","53.43 (33.02)"
"LE8 PA Score (mean (SD))","35.56 (29.02)"
"LE8 Smoking Score (mean (SD))","90.14 (18.33)"
"LE8 Sleep Health Points (mean (SD))","89.23 (19.47)"
"LE8 BMI Points (mean (SD))","76.47 (25.66)"
"LE8 Blood Lipid Points (mean (SD))","71.94 (22.98)"
"LE8 HbA1c Score (mean (SD))","96.33 (11.78)"
"LE8 BP Score (mean (SD))","67.27 (20.35)"
"LE8 Composite Score (mean (SD))","72.55 (9.00)"
