"variable","p_value"
"Age",3.59657784822285e-61
"C Reactive Protein",0.800772203402431
"Townsend Deprivation Index",0.0139486338350412
"Pooled Cohort Equation Risk",3.97605656737059e-44
"LE8 Diet Score",0.533210140953873
"LE8 PA Score",0.0888212309235015
"LE8 Smoking Score",0.0388204853260172
"LE8 Sleep Health Points",0.901139164018275
"LE8 BMI Points",0.0609859082335971
"LE8 Blood Lipid Points",0.0560194413134941
"LE8 HbA1c Score",0.000868792849400366
"LE8 BP Score",0.561031926607074
"LE8 Composite Score",0.590690508458186
