PRS,prop,low_ci,high_ci
df1,0.145648312611012,0.117229129662522,0.175843694493783
df2,0.134991119005329,0.106617060516528,0.163410301953819
df3,0.140319715808171,0.1101243339254,0.170515097690941
df4,0.22202486678508,0.188277087033748,0.255772646536412
df5,0.220248667850799,0.186500888099467,0.253996447602131
df6,0.174067495559503,0.145648312611012,0.206039076376554
df7,0.129662522202487,0.104795737122558,0.159812779625568
df8,0.174067495559503,0.142141039202141,0.204262877442274
df9,0.149200710479574,0.119005328596803,0.181172291296625
df10,0.134991119005329,0.106571936056838,0.165186500888099
df11,0.191829484902309,0.159903028544948,0.225532140193951
df12,0.316163410301954,0.27708703374778,0.355239786856128
df13,0.291296625222025,0.253996447602131,0.326820603907638
df14,0.117229129662522,0.0905861456483126,0.143872113676732
df15,0.191829484902309,0.158081705150977,0.223801065719361
df16,0.190053285968028,0.159857904085258,0.223801065719361
df17,0.161634103019538,0.131483845596457,0.191829484902309
df18,0.16696269982238,0.136767317939609,0.19538188277087
df19,0.179396092362345,0.145648312611012,0.211322548719706
df20,0.156305506216696,0.124333925399645,0.186500888099467
df21,0.181172291296625,0.147424511545293,0.211322548719706
df22,0.188277087033748,0.158081705150977,0.22202486678508
df23,0.197158081705151,0.163410301953819,0.230905861456483
df24,0.198934280639432,0.16696269982238,0.232682060390764
df25,0.282415630550622,0.246891651865009,0.323268206039076
df26,0.259325044404973,0.227353463587922,0.298401420959147
df27,0.191829484902309,0.158081705150977,0.225577264653641
df28,0.140319715808171,0.113676731793961,0.168738898756661
df29,0.174067495559503,0.140319715808171,0.207770150851145
df30,0.206039076376554,0.174112620019193,0.241517930602477
df31,0.165186500888099,0.134991119005329,0.197158081705151
df32,0.216696269982238,0.182948490230906,0.252220248667851
df33,0.314387211367673,0.275310834813499,0.349911190053286
df34,0.152753108348135,0.122557726465364,0.184724689165187
df35,0.259325044404973,0.223801065719361,0.298401420959147
df36,0.216696269982238,0.184724689165187,0.252220248667851
df37,0.223801065719361,0.190053285968028,0.261101243339254
df38,0.234458259325044,0.197203206164841,0.268206039076377
df39,0.261101243339254,0.225577264653641,0.296625222024867
df40,0.214920071047957,0.181172291296625,0.2486227263396
df41,0.269982238010657,0.230905861456483,0.310789689039422
df42,0.223801065719361,0.190053285968028,0.261056118879564
df43,0.230905861456483,0.197203206164841,0.264653641207815
df44,0.25044404973357,0.214920071047957,0.285968028419183
df45,0.161634103019538,0.133214920071048,0.191829484902309
df46,0.264653641207815,0.230905861456483,0.301908694368019
df47,0.262877442273535,0.227353463587922,0.300177619893428
df48,0.25044404973357,0.216696269982238,0.287744227353464
df49,0.236234458259325,0.202486678507993,0.271758436944938
df50,0.150976909413854,0.120781527531084,0.182948490230906
df51,0.127886323268206,0.101243339253996,0.158081705150977
df52,0.325044404973357,0.287744227353464,0.36234458259325
df53,0.339253996447602,0.300222744353118,0.374777975133215
df54,0.262877442273535,0.227353463587922,0.300177619893428
df55,0.262877442273535,0.225577264653641,0.298401420959147
df56,0.206039076376554,0.174067495559503,0.239786856127886
df57,0.236234458259325,0.198934280639432,0.273534635879218
df58,0.271758436944938,0.236234458259325,0.312565887973703
