PRS,group,prop,low_ci,high_ci
PGS000010,Total,0.158262351,0.149403748,0.167627699
PGS000011,Total,0.155877342,0.147193425,0.165753764
PGS000012,Total,0.163373083,0.154173765,0.173419863
PGS000013,Total,0.21516184,0.205110733,0.225894378
PGS000018,Total,0.216013629,0.205966849,0.226746167
PGS000019,Total,0.17427598,0.164906303,0.183982043
PGS000057,Total,0.151107325,0.141737649,0.160131958
PGS000058,Total,0.216354344,0.205962521,0.227427598
PGS000059,Total,0.159284497,0.149744463,0.168143101
PGS000200,Total,0.148892675,0.139863714,0.158091993
PGS000296,Total,0.211925043,0.202214651,0.223505042
PGS000329,Total,0.373424191,0.361669506,0.385344905
PGS000337,Total,0.327597956,0.315502555,0.340029744
PGS000349,Total,0.127086882,0.119254754,0.135941158
PGS000746,Total,0.188074957,0.178364566,0.197610664
PGS000747,Total,0.175979557,0.165255675,0.185685621
PGS000748,Total,0.174616695,0.165076661,0.184663474
PGS000749,Total,0.175468484,0.165587734,0.185344905
PGS000798,Total,0.195741056,0.185689949,0.205451448
PGS000818,Total,0.178364566,0.168313458,0.188926746
PGS000899,Total,0.212606474,0.202218979,0.222487223
PGS000962,Total,0.233219761,0.222146508,0.244459045
PGS001355,Total,0.216354344,0.20528109,0.226571481
PGS001780,Total,0.21516184,0.204944703,0.225212947
PGS001839,Total,0.327768313,0.315502555,0.3396847
PGS002048,Total,0.33407155,0.322150836,0.347695842
PGS002244,Total,0.204088586,0.193356048,0.214305723
PGS002262,Total,0.147359455,0.138160136,0.156388416
PGS002775,Total,0.183475298,0.173083475,0.193015332
PGS002776,Total,0.209369676,0.199152539,0.220268244
PGS002809,Total,0.202555366,0.192333901,0.212768175
PGS003355,Total,0.22197615,0.211584327,0.232534003
PGS003356,Total,0.343100511,0.330834753,0.355877342
PGS003438,Total,0.226064736,0.214144021,0.237470049
PGS003446,Total,0.303407155,0.290805009,0.314982826
PGS003725,Total,0.269505963,0.258432709,0.280915604
PGS003726,Total,0.263032368,0.252981261,0.274442009
PGS003727,Total,0.248722317,0.236967632,0.260131958
PGS003866,Total,0.281771721,0.270528109,0.29318569
PGS004196,Total,0.272231687,0.260988075,0.282282794
PGS004197,Total,0.347018739,0.334923339,0.358432709
PGS004198,Total,0.291482112,0.279897785,0.302380681
PGS004199,Total,0.291482112,0.280413187,0.303918228
PGS004200,Total,0.323168654,0.311073254,0.334578296
PGS004321,Total,0.168483816,0.15911414,0.177338091
PGS004443,Total,0.3,0.288079285,0.311413969
PGS004444,Total,0.289608177,0.278879967,0.301703578
PGS004513,Total,0.283986371,0.271890971,0.295911414
PGS004514,Total,0.266780239,0.2560477,0.278360238
PGS004595,Total,0.174105622,0.165076661,0.183300612
PGS004596,Total,0.154173765,0.145315162,0.163373083
PGS004696,Total,0.362010221,0.350259865,0.375293798
PGS004697,Total,0.387734242,0.375468484,0.4
PGS004698,Total,0.314139693,0.302218979,0.325894378
PGS004743,Total,0.325212947,0.313121875,0.337649063
PGS004744,Total,0.256729131,0.246000921,0.267968415
PGS004745,Total,0.323339012,0.310396151,0.335093697
PGS004746,Total,0.315332198,0.303407155,0.32725724
PGS000010,Male,0.162587904,0.150499411,0.17440225
PGS000011,Male,0.157805907,0.145147679,0.170464135
PGS000012,Male,0.167651195,0.155281408,0.180309423
PGS000013,Male,0.226722925,0.211251758,0.239943741
PGS000018,Male,0.223909986,0.209845288,0.237412096
PGS000019,Male,0.177777778,0.165963432,0.190710153
PGS000057,Male,0.158931083,0.146561295,0.171589311
PGS000058,Male,0.230379747,0.215752461,0.24528118
PGS000059,Male,0.160056259,0.149085795,0.171308017
PGS000200,Male,0.155555556,0.144585091,0.167932489
PGS000296,Male,0.218565401,0.205063291,0.233192686
PGS000329,Male,0.383122363,0.367651195,0.399718706
PGS000337,Male,0.340365682,0.324613221,0.355274262
PGS000349,Male,0.126019691,0.115049226,0.137271449
PGS000746,Male,0.195499297,0.181997187,0.208431672
PGS000747,Male,0.181997187,0.168776371,0.194366975
PGS000748,Male,0.183403657,0.170745429,0.195780591
PGS000749,Male,0.185091421,0.172714487,0.197749648
PGS000798,Male,0.205063291,0.191568328,0.217158931
PGS000818,Male,0.181153305,0.167932489,0.193804387
PGS000899,Male,0.220253165,0.206751055,0.23347398
PGS000962,Male,0.244444444,0.230668187,0.259353024
PGS001355,Male,0.223909986,0.21068917,0.238811419
PGS001780,Male,0.218846695,0.205351731,0.23347398
PGS001839,Male,0.341772152,0.327152013,0.35583685
PGS002048,Male,0.355555556,0.340668415,0.372144752
PGS002244,Male,0.21068917,0.198030942,0.224753868
PGS002262,Male,0.151336146,0.139803094,0.163150492
PGS002775,Male,0.192967651,0.1789101,0.205907173
PGS002776,Male,0.216877637,0.203938115,0.231223629
PGS002809,Male,0.214627286,0.200843882,0.227285513
PGS003355,Male,0.224753868,0.211821492,0.238818565
PGS003356,Male,0.348523207,0.333052039,0.363417494
PGS003438,Male,0.241912799,0.22729266,0.256251644
PGS003446,Male,0.318424754,0.302960733,0.333614627
PGS003725,Male,0.288045007,0.273424868,0.304627058
PGS003726,Male,0.282137834,0.267236401,0.296757973
PGS003727,Male,0.262728551,0.24697609,0.276786103
PGS003866,Male,0.287201125,0.27257384,0.30323488
PGS004196,Male,0.292264416,0.277918425,0.306329114
PGS004197,Male,0.371870605,0.355562702,0.389015243
PGS004198,Male,0.316174402,0.300991675,0.331364276
PGS004199,Male,0.314486639,0.300140647,0.329395218
PGS004200,Male,0.353586498,0.337834037,0.369057665
PGS004321,Male,0.17721519,0.16371308,0.190154712
PGS004443,Male,0.316455696,0.300710381,0.330794541
PGS004444,Male,0.283544304,0.268073136,0.297609001
PGS004513,Male,0.295639944,0.280457217,0.311111111
PGS004514,Male,0.262728551,0.24838256,0.277918425
PGS004595,Male,0.190998594,0.178059072,0.204500703
PGS004596,Male,0.162025316,0.148818793,0.174120956
PGS004696,Male,0.380309423,0.362876345,0.39689862
PGS004697,Male,0.400562588,0.383973391,0.416596343
PGS004698,Male,0.326863572,0.311673699,0.342890181
PGS004743,Male,0.3395218,0.324339073,0.355555556
PGS004744,Male,0.257102672,0.242763827,0.270886076
PGS004745,Male,0.331364276,0.31533052,0.346272855
PGS004746,Male,0.320956399,0.305485232,0.336413274
PGS000010,Female,0.15161987,0.135637149,0.167170626
PGS000011,Female,0.152915767,0.138228942,0.168034557
PGS000012,Female,0.156803456,0.142991536,0.172343238
PGS000013,Female,0.197408207,0.181425486,0.213822894
PGS000018,Female,0.203887689,0.187473002,0.21987041
PGS000019,Female,0.168898488,0.152483801,0.18488121
PGS000057,Female,0.139092873,0.126133909,0.152483801
PGS000058,Female,0.194816415,0.178844667,0.210367171
PGS000059,Female,0.158099352,0.144276458,0.172775203
PGS000200,Female,0.138660907,0.124838013,0.152915767
PGS000296,Female,0.201727862,0.18574514,0.219427471
PGS000329,Female,0.358531317,0.338671881,0.379265659
PGS000337,Female,0.307991361,0.290291752,0.327429806
PGS000349,Female,0.128725702,0.115345747,0.143412527
PGS000746,Female,0.176673866,0.161998015,0.192656587
PGS000747,Female,0.166738661,0.151187905,0.181425486
PGS000748,Female,0.16112311,0.146868251,0.176673866
PGS000749,Female,0.160691145,0.14600432,0.175366996
PGS000798,Female,0.181425486,0.165010799,0.197397233
PGS000818,Female,0.174082073,0.158963283,0.18918989
PGS000899,Female,0.200863931,0.184028253,0.217710583
PGS000962,Female,0.215982721,0.199147043,0.2328184
PGS001355,Female,0.20475162,0.188768898,0.221155333
PGS001780,Female,0.20950324,0.194384449,0.226338918
PGS001839,Female,0.306263499,0.288984881,0.324406048
PGS002048,Female,0.301079914,0.2825054,0.319643454
PGS002244,Female,0.193952484,0.177969762,0.210367171
PGS002262,Female,0.1412527,0.127008814,0.154643629
PGS002775,Female,0.168898488,0.154643629,0.185313175
PGS002776,Female,0.197840173,0.180561555,0.212958963
PGS002809,Female,0.184017279,0.169330454,0.199568035
PGS003355,Female,0.217710583,0.200863931,0.233693305
PGS003356,Female,0.334773218,0.315334773,0.354211663
PGS003438,Female,0.201727862,0.185756115,0.219427471
PGS003446,Female,0.280345572,0.262203024,0.298488121
PGS003725,Female,0.241036717,0.224190065,0.257883369
PGS003726,Female,0.233693305,0.215982721,0.250107991
PGS003727,Female,0.227213823,0.210821084,0.24362851
PGS003866,Female,0.273434125,0.256155508,0.291997665
PGS004196,Female,0.241468683,0.225053996,0.259600257
PGS004197,Female,0.308855292,0.290723717,0.328282762
PGS004198,Female,0.253563715,0.235421166,0.273855117
PGS004199,Female,0.256155508,0.237591968,0.274298056
PGS004200,Female,0.276457883,0.257462378,0.294168467
PGS004321,Female,0.155075594,0.139967778,0.169751445
PGS004443,Female,0.274730022,0.2587473,0.293293562
PGS004444,Female,0.298920086,0.279913607,0.319211488
PGS004513,Female,0.266090713,0.24838013,0.285097192
PGS004514,Female,0.27300216,0.253574689,0.291997665
PGS004595,Female,0.148164147,0.133920261,0.163282937
PGS004596,Female,0.142116631,0.128293737,0.155939525
PGS004696,Female,0.333909287,0.315777713,0.354200689
PGS004697,Female,0.368034557,0.347300216,0.388336933
PGS004698,Female,0.294600432,0.276457883,0.313606911
PGS004743,Female,0.303239741,0.284233261,0.322667212
PGS004744,Female,0.256155508,0.238023933,0.274287082
PGS004745,Female,0.311015119,0.291576674,0.330885529
PGS004746,Female,0.306695464,0.288131924,0.325701944
