PRS,prop,low_ci,high_ci
df1,0.15625,0.11875,0.199920609153733
df2,0.121875,0.0875,0.159295609153733
df3,0.134375,0.0969543908462673,0.175
df4,0.190625,0.146875,0.23125
df5,0.175,0.128204390846267,0.215625
df6,0.15625,0.115704390846267,0.196875
df7,0.11875,0.084375,0.15625
df8,0.20625,0.1625,0.253045609153733
df9,0.15,0.109375,0.190625
df10,0.121875,0.084375,0.15625
df11,0.1625,0.121875,0.20625
df12,0.175,0.134375,0.215625
df13,0.178125,0.1375,0.221875
df14,0.103125,0.071875,0.1375
df15,0.203125,0.159375,0.246875
df16,0.15625,0.115625,0.196875
df17,0.1625,0.121875,0.2
df18,0.159375,0.118829390846267,0.203125
df19,0.165625,0.125,0.2125
df20,0.15625,0.11875,0.19375
df21,0.1875,0.146875,0.23125
df22,0.1625,0.125,0.206170609153733
df23,0.196875,0.15625,0.240625
df24,0.190625,0.146954390846267,0.234375
df25,0.19375,0.15,0.2375
df26,0.190625,0.15,0.234375
df27,0.18125,0.140625,0.228125
df28,0.15,0.109375,0.190625
df29,0.16875,0.128125,0.2125
df30,0.184375,0.140625,0.228125
df31,0.178125,0.134375,0.221875
df32,0.1875,0.146875,0.234375
df33,0.284375,0.2375,0.334375
df34,0.2125,0.16875,0.256170609153733
df35,0.134375,0.096875,0.171795609153733
df36,0.253125,0.20625,0.3
df37,0.3,0.246875,0.35
df38,0.315625,0.2625,0.365625
df39,0.18125,0.140625,0.225
df40,0.165625,0.125,0.209375
df41,0.178125,0.140625,0.221875
df42,0.153125,0.115625,0.196875
df43,0.146875,0.109454390846267,0.1875
df44,0.175,0.134375,0.218670609153733
df45,0.1625,0.121875,0.20625
df46,0.1625,0.125,0.2
df47,0.11875,0.0844543908462673,0.15625
df48,0.140625,0.103125,0.18125
df49,0.13125,0.0938293908462673,0.171875
df50,0.140625,0.103125,0.178125
df51,0.128125,0.09375,0.165625
df52,0.2,0.159375,0.246875
df53,0.209375,0.1625,0.25625
df54,0.184375,0.140625,0.228125
df55,0.20625,0.1625,0.25
df56,0.153125,0.1125,0.190625
df57,0.19375,0.15,0.240545609153733
df58,0.20625,0.1625,0.25
