PRS,Group,prop,low_ci,high_ci
PGS003726,Total,0.261477046,0.221556886,0.299401198
PGS003727,Total,0.261477046,0.223552894,0.301397206
PGS003356,Total,0.243512974,0.205588822,0.283433134
PGS003725,Total,0.215568862,0.181636727,0.253493014
PGS004697,Total,0.203592814,0.167664671,0.241516966
PGS004696,Total,0.189620758,0.155688623,0.227494201
PGS002048,Total,0.18762475,0.155688623,0.221556886
PGS004743,Total,0.185628743,0.153692615,0.219560878
PGS003438,Total,0.183632735,0.147704591,0.21756487
PGS000058,Total,0.181636727,0.151696607,0.21756487
PGS000337,Total,0.179640719,0.145708583,0.213572854
PGS000746,Total,0.179640719,0.147704591,0.215568862
PGS001839,Total,0.177644711,0.145708583,0.209580838
PGS004746,Total,0.175648703,0.143712575,0.209580838
PGS003866,Total,0.171656687,0.141716567,0.20758483
PGS004698,Total,0.171656687,0.137724551,0.205588822
PGS001355,Total,0.169660679,0.137724551,0.201596806
PGS002244,Total,0.169660679,0.137724551,0.203592814
PGS000329,Total,0.167664671,0.133732535,0.201546098
PGS000899,Total,0.167664671,0.133783244,0.201596806
PGS004745,Total,0.167664671,0.133732535,0.201596806
PGS000013,Total,0.165668663,0.133732535,0.199600798
PGS002776,Total,0.165668663,0.133732535,0.19760479
PGS004321,Total,0.163672655,0.129740519,0.197554082
PGS003355,Total,0.161676647,0.129740519,0.195608782
PGS004443,Total,0.161676647,0.129740519,0.191616766
PGS001780,Total,0.159680639,0.129740519,0.193612774
PGS000018,Total,0.157684631,0.125799212,0.189620758
PGS002775,Total,0.157684631,0.123803204,0.191616766
PGS000010,Total,0.155688623,0.123752495,0.18762475
PGS000749,Total,0.155688623,0.123752495,0.189620758
PGS000962,Total,0.155688623,0.125748503,0.189620758
PGS004197,Total,0.155688623,0.125748503,0.18762475
PGS004744,Total,0.155688623,0.127744511,0.18762475
PGS002809,Total,0.153692615,0.123752495,0.185628743
PGS000296,Total,0.151696607,0.121756487,0.181636727
PGS000748,Total,0.151696607,0.121807196,0.185628743
PGS004200,Total,0.151696607,0.11781518,0.183632735
PGS004196,Total,0.149700599,0.119760479,0.185628743
PGS000798,Total,0.147704591,0.117764471,0.179640719
PGS000747,Total,0.145708583,0.113772455,0.175648703
PGS000012,Total,0.143712575,0.115768463,0.173652695
PGS003446,Total,0.143712575,0.113772455,0.177644711
PGS000019,Total,0.139720559,0.10783514,0.173652695
PGS000818,Total,0.139720559,0.109780439,0.169660679
PGS004199,Total,0.139720559,0.109780439,0.171656687
PGS004198,Total,0.137724551,0.107784431,0.165668663
PGS000059,Total,0.135728543,0.105839132,0.165668663
PGS002262,Total,0.129740519,0.101796407,0.161625938
PGS004513,Total,0.127744511,0.099851108,0.157633922
PGS000011,Total,0.123752495,0.095808383,0.153641906
PGS004514,Total,0.123752495,0.095859092,0.155688623
PGS004595,Total,0.123752495,0.095808383,0.153641906
PGS004596,Total,0.117764471,0.089820359,0.145657874
PGS004444,Total,0.115768463,0.087824351,0.143712575
PGS000200,Total,0.113772455,0.085828343,0.143712575
PGS000057,Total,0.107784431,0.081836327,0.137724551
PGS000349,Total,0.103792415,0.075848303,0.129740519
PGS000010,Male,0.15625,0.11875,0.199920609
PGS000011,Male,0.121875,0.0875,0.159295609
PGS000012,Male,0.134375,0.096954391,0.175
PGS000013,Male,0.190625,0.146875,0.23125
PGS000018,Male,0.175,0.128204391,0.215625
PGS000019,Male,0.15625,0.115704391,0.196875
PGS000057,Male,0.11875,0.084375,0.15625
PGS000058,Male,0.20625,0.1625,0.253045609
PGS000059,Male,0.15,0.109375,0.190625
PGS000200,Male,0.121875,0.084375,0.15625
PGS000296,Male,0.1625,0.121875,0.20625
PGS000329,Male,0.175,0.134375,0.215625
PGS000337,Male,0.178125,0.1375,0.221875
PGS000349,Male,0.103125,0.071875,0.1375
PGS000746,Male,0.203125,0.159375,0.246875
PGS000747,Male,0.15625,0.115625,0.196875
PGS000748,Male,0.1625,0.121875,0.2
PGS000749,Male,0.159375,0.118829391,0.203125
PGS000798,Male,0.165625,0.125,0.2125
PGS000818,Male,0.15625,0.11875,0.19375
PGS000899,Male,0.1875,0.146875,0.23125
PGS000962,Male,0.1625,0.125,0.206170609
PGS001355,Male,0.196875,0.15625,0.240625
PGS001780,Male,0.190625,0.146954391,0.234375
PGS001839,Male,0.19375,0.15,0.2375
PGS002048,Male,0.190625,0.15,0.234375
PGS002244,Male,0.18125,0.140625,0.228125
PGS002262,Male,0.15,0.109375,0.190625
PGS002775,Male,0.16875,0.128125,0.2125
PGS002776,Male,0.184375,0.140625,0.228125
PGS002809,Male,0.178125,0.134375,0.221875
PGS003355,Male,0.1875,0.146875,0.234375
PGS003356,Male,0.284375,0.2375,0.334375
PGS003438,Male,0.2125,0.16875,0.256170609
PGS003446,Male,0.134375,0.096875,0.171795609
PGS003725,Male,0.253125,0.20625,0.3
PGS003726,Male,0.3,0.246875,0.35
PGS003727,Male,0.315625,0.2625,0.365625
PGS003866,Male,0.18125,0.140625,0.225
PGS004196,Male,0.165625,0.125,0.209375
PGS004197,Male,0.178125,0.140625,0.221875
PGS004198,Male,0.153125,0.115625,0.196875
PGS004199,Male,0.146875,0.109454391,0.1875
PGS004200,Male,0.175,0.134375,0.218670609
PGS004321,Male,0.1625,0.121875,0.20625
PGS004443,Male,0.1625,0.125,0.2
PGS004444,Male,0.11875,0.084454391,0.15625
PGS004513,Male,0.140625,0.103125,0.18125
PGS004514,Male,0.13125,0.093829391,0.171875
PGS004595,Male,0.140625,0.103125,0.178125
PGS004596,Male,0.128125,0.09375,0.165625
PGS004696,Male,0.2,0.159375,0.246875
PGS004697,Male,0.209375,0.1625,0.25625
PGS004698,Male,0.184375,0.140625,0.228125
PGS004743,Male,0.20625,0.1625,0.25
PGS004744,Male,0.153125,0.1125,0.190625
PGS004745,Male,0.19375,0.15,0.240545609
PGS004746,Male,0.20625,0.1625,0.25
PGS000010,Female,0.154696133,0.104972376,0.209944751
PGS000011,Female,0.127071823,0.082872928,0.17679558
PGS000012,Female,0.160220994,0.110497238,0.215469613
PGS000013,Female,0.121546961,0.082872928,0.171270718
PGS000018,Female,0.127071823,0.082872928,0.17679558
PGS000019,Female,0.110497238,0.066298343,0.160220994
PGS000057,Female,0.08839779,0.049723757,0.127071823
PGS000058,Female,0.138121547,0.093922652,0.193370166
PGS000059,Female,0.110497238,0.066298343,0.160220994
PGS000200,Female,0.099447514,0.060773481,0.138121547
PGS000296,Female,0.132596685,0.08839779,0.17679558
PGS000329,Female,0.154696133,0.104972376,0.20441989
PGS000337,Female,0.182320442,0.127071823,0.237569061
PGS000349,Female,0.104972376,0.066298343,0.154555773
PGS000746,Female,0.138121547,0.08839779,0.193370166
PGS000747,Female,0.127071823,0.082872928,0.182320442
PGS000748,Female,0.132596685,0.082872928,0.187704944
PGS000749,Female,0.149171271,0.099447514,0.20441989
PGS000798,Female,0.116022099,0.071823204,0.165745856
PGS000818,Female,0.110497238,0.071823204,0.154696133
PGS000899,Female,0.132596685,0.082872928,0.187845304
PGS000962,Female,0.143646409,0.099447514,0.198895028
PGS001355,Female,0.121546961,0.071823204,0.171270718
PGS001780,Female,0.104972376,0.066298343,0.154696133
PGS001839,Female,0.149171271,0.099447514,0.209944751
PGS002048,Female,0.182320442,0.127071823,0.237569061
PGS002244,Female,0.149171271,0.099447514,0.20441989
PGS002262,Female,0.093922652,0.055248619,0.132596685
PGS002775,Female,0.138121547,0.08839779,0.193370166
PGS002776,Female,0.132596685,0.082872928,0.182180082
PGS002809,Female,0.110497238,0.066298343,0.160220994
PGS003355,Female,0.116022099,0.071823204,0.160220994
PGS003356,Female,0.171270718,0.116162459,0.226519337
PGS003438,Female,0.132596685,0.08839779,0.187845304
PGS003446,Female,0.160220994,0.110497238,0.215469613
PGS003725,Female,0.149171271,0.099447514,0.20441989
PGS003726,Female,0.193370166,0.143646409,0.254143646
PGS003727,Female,0.165745856,0.110497238,0.220994475
PGS003866,Female,0.154696133,0.104972376,0.20441989
PGS004196,Female,0.121546961,0.071823204,0.171270718
PGS004197,Female,0.116022099,0.071823204,0.160220994
PGS004198,Female,0.110497238,0.066298343,0.154696133
PGS004199,Female,0.127071823,0.082872928,0.17679558
PGS004200,Female,0.110497238,0.066298343,0.160080635
PGS004321,Female,0.165745856,0.116022099,0.220994475
PGS004443,Female,0.160220994,0.110497238,0.215469613
PGS004444,Female,0.110497238,0.071823204,0.160220994
PGS004513,Female,0.104972376,0.060773481,0.149171271
PGS004514,Female,0.110497238,0.066298343,0.154696133
PGS004595,Female,0.093922652,0.055248619,0.138121547
PGS004596,Female,0.099447514,0.055248619,0.143646409
PGS004696,Female,0.171270718,0.116022099,0.226519337
PGS004697,Female,0.193370166,0.132596685,0.248618785
PGS004698,Female,0.149171271,0.099447514,0.20441989
PGS004743,Female,0.149171271,0.099447514,0.20441989
PGS004744,Female,0.160220994,0.104972376,0.215469613
PGS004745,Female,0.121546961,0.077348066,0.171270718
PGS004746,Female,0.121546961,0.071823204,0.171270718
