PRS,Total,British_White,Non_British_White
PGS000010,0.082802548,0.096774194,0.03030303
PGS000011,0.108280255,0.088709677,0.181818182
PGS000012,0.082802548,0.088709677,0.060606061
PGS000013,0.121019108,0.10483871,0.181818182
PGS000018,0.114649682,0.120967742,0.090909091
PGS000019,0.108280255,0.120967742,0.060606061
PGS000057,0.089171975,0.088709677,0.090909091
PGS000058,0.108280255,0.10483871,0.121212121
PGS000059,0.127388535,0.14516129,0.060606061
PGS000200,0.076433121,0.072580645,0.090909091
PGS000296,0.121019108,0.112903226,0.151515152
PGS000329,0.27388535,0.330645161,0.060606061
PGS000337,0.25477707,0.25,0.272727273
PGS000349,0.076433121,0.080645161,0.060606061
PGS000746,0.108280255,0.112903226,0.090909091
PGS000747,0.133757962,0.14516129,0.090909091
PGS000748,0.108280255,0.120967742,0.060606061
PGS000749,0.095541401,0.112903226,0.03030303
PGS000798,0.127388535,0.120967742,0.151515152
PGS000818,0.114649682,0.096774194,0.181818182
PGS000899,0.133757962,0.129032258,0.151515152
PGS000962,0.140127389,0.14516129,0.121212121
PGS001355,0.089171975,0.088709677,0.090909091
PGS001780,0.140127389,0.137096774,0.151515152
PGS001839,0.197452229,0.209677419,0.151515152
PGS002048,0.178343949,0.193548387,0.121212121
PGS002244,0.108280255,0.096774194,0.151515152
PGS002262,0.082802548,0.096774194,0.03030303
PGS002775,0.095541401,0.112903226,0.03030303
PGS002776,0.114649682,0.129032258,0.060606061
PGS002809,0.101910828,0.096774194,0.121212121
PGS003355,0.146496815,0.153225806,0.121212121
PGS003356,0.248407643,0.217741935,0.363636364
PGS003438,0.114649682,0.10483871,0.151515152
PGS003446,0.229299363,0.209677419,0.303030303
PGS003725,0.089171975,0.072580645,0.151515152
PGS003726,0.089171975,0.072580645,0.151515152
PGS003727,0.095541401,0.088709677,0.121212121
PGS003866,0.261146497,0.266129032,0.242424242
PGS004196,0.171974522,0.177419355,0.151515152
PGS004197,0.23566879,0.241935484,0.212121212
PGS004198,0.178343949,0.193548387,0.121212121
PGS004199,0.197452229,0.193548387,0.212121212
PGS004200,0.178343949,0.177419355,0.181818182
PGS004321,0.101910828,0.096774194,0.121212121
PGS004443,0.222929936,0.274193548,0.03030303
PGS004444,0.318471338,0.370967742,0.121212121
PGS004513,0.165605096,0.201612903,0.03030303
PGS004514,0.21656051,0.266129032,0.03030303
PGS004595,0.082802548,0.080645161,0.090909091
PGS004596,0.089171975,0.096774194,0.060606061
PGS004696,0.261146497,0.258064516,0.272727273
PGS004697,0.261146497,0.258064516,0.272727273
PGS004698,0.203821656,0.201612903,0.212121212
PGS004743,0.171974522,0.177419355,0.151515152
PGS004744,0.121019108,0.129032258,0.090909091
PGS004745,0.140127389,0.14516129,0.121212121
PGS004746,0.127388535,0.120967742,0.151515152
