Exposure,Term,HR,CI_lower,CI_upper,P_value
df1,df1,1.20731945460855,1.17987531137129,1.23540195428126,4.90508678136335e-58
df2,df2,1.18747493617804,1.15997506534576,1.21562675455504,7.56715645716483e-47
df3,df3,1.19849650926854,1.17040367673267,1.22726364525679,1.29475312711713e-50
df4,df4,1.37057025467854,1.33840623335645,1.40350722836878,3.14778949988266e-149
df5,df5,1.36962992230607,1.33739568697563,1.40264107499721,9.68969601004891e-148
df6,df6,1.27881254227463,1.24916227483094,1.30916659206685,8.05384500373324e-94
df7,df7,1.16954377203359,1.14239175081872,1.197341134267,5.01596577435654e-39
df8,df8,1.35916468120279,1.32767250890513,1.39140384261815,3.56489927622552e-145
df9,df9,1.21437404434865,1.18635462182514,1.24305523193305,8.64180166084277e-60
df10,df10,1.170325926033,1.14322846455229,1.19806566719924,1.50212537166455e-39
df11,df11,1.33236695896861,1.30116009590226,1.36432228358516,1.73934257564206e-124
df12,df12,1.96659576336699,1.92085857317863,2.0134219929024,0
df13,df13,1.76449336857754,1.72205072560967,1.80798207709697,0
df14,df14,1.0972318788486,1.07176579590755,1.12330305796163,9.57791153165737e-15
df15,df15,1.29116705521467,1.26110747585534,1.32194313045445,2.50993798264651e-100
df16,df16,1.23268944650324,1.20359042613471,1.26249198940569,4.95962584341675e-66
df17,df17,1.2267953280474,1.1981190704712,1.25615793455907,2.34471070554737e-64
df18,df18,1.23301126766812,1.20425500515808,1.26245419756173,8.68245337030314e-68
df19,df19,1.31550475605956,1.284888065669,1.34685098994541,2.66593156351389e-115
df20,df20,1.26807118402393,1.2385273200458,1.29831978812738,8.66393521631579e-87
df21,df21,1.36172575635692,1.33013293900144,1.39406895442939,1.4907571194818e-146
df22,df22,1.46151900658754,1.42752259976754,1.49632503679064,3.49048248940603e-219
df23,df23,1.38291881831391,1.35034393019829,1.41627952351807,1.48271189792318e-156
df24,df24,1.37193570184314,1.33953224299182,1.40512300457058,3.01484160493853e-148
df25,df25,1.87494239060177,1.82972493836762,1.92127728838397,0
df26,df26,1.90004642461813,1.85475133927949,1.94644766619043,0
df27,df27,1.32019454063209,1.28930688196132,1.35182216856194,4.95404063567396e-117
df28,df28,1.20265668759981,1.17444961492428,1.23154121713582,1.93381798163481e-52
df29,df29,1.26906509339033,1.23952759706777,1.29930645761472,1.59888925018373e-87
df30,df30,1.36888517620389,1.33695843884589,1.40157432810576,6.42884301460072e-150
df31,df31,1.31968204121246,1.28906183633249,1.35102959440147,1.17723702754187e-118
df32,df32,1.3841370791965,1.3515310247734,1.41752976357153,2.26127516629231e-157
df33,df33,1.86594346733879,1.82068753449814,1.9123243046007,0
df34,df34,1.36893554070242,1.33721914781985,1.40140418842602,5.89118807158203e-152
df35,df35,1.69540632691272,1.6540608856056,1.73778525225405,0
df36,df36,1.53373215447949,1.49698988986065,1.57137622479418,6.58870668465185e-262
df37,df37,1.5352134675531,1.49871760880247,1.57259805123639,3.53845268368834e-267
df38,df38,1.48972830055118,1.45435730462328,1.52595954405988,7.30233954655362e-232
df39,df39,1.62370276152278,1.58511426956826,1.66323066317154,0
df40,df40,1.54927249713571,1.51347951967449,1.58591195928265,5.10116076727123e-295
df41,df41,1.85183535309453,1.80773649406476,1.89700998250018,0
df42,df42,1.65043858863208,1.61179786512288,1.69000567241612,0
df43,df43,1.66460722085944,1.62565545766703,1.70449229365853,0
df44,df44,1.75378930015244,1.71238144445005,1.79619845759132,0
df45,df45,1.2201436469555,1.19234024408408,1.24859537920694,3.29567649247591e-64
df46,df46,1.84771325410106,1.80444165705698,1.89202253008778,0
df47,df47,1.96123238312919,1.91522592808864,2.00834397875622,0
df48,df48,1.71703143311766,1.67611232524965,1.75894950350356,0
df49,df49,1.76168840394943,1.71971208811379,1.80468931634591,0
df50,df50,1.25681781755275,1.22751633391664,1.28681874356657,1.98695232696211e-80
df51,df51,1.19163196721728,1.16398700248372,1.21993350635716,1.56466473113404e-48
df52,df52,1.90139174628497,1.85489647802516,1.94905247579622,0
df53,df53,1.98512002019286,1.93654474751035,2.03491372953645,0
df54,df54,1.74668287031636,1.70427209111745,1.79014904096457,0
df55,df55,1.76200136556515,1.71981467269222,1.80522288915781,0
df56,df56,1.55775284060157,1.5203583473097,1.59606708293222,5.73558294678175e-280
df57,df57,1.80781306720083,1.76330219843759,1.85344751956751,0
df58,df58,1.73933209266781,1.69693619282881,1.78278720282405,0
