PRS,group,HR,CI_lower,CI_upper
PGS000010,Total,1.207319455,1.179875311,1.235401954
PGS000011,Total,1.187474936,1.159975065,1.215626755
PGS000012,Total,1.198496509,1.170403677,1.227263645
PGS000013,Total,1.370570255,1.338406233,1.403507228
PGS000018,Total,1.369629922,1.337395687,1.402641075
PGS000019,Total,1.278812542,1.249162275,1.309166592
PGS000057,Total,1.169543772,1.142391751,1.197341134
PGS000058,Total,1.359164681,1.327672509,1.391403843
PGS000059,Total,1.214374044,1.186354622,1.243055232
PGS000200,Total,1.170325926,1.143228465,1.198065667
PGS000296,Total,1.332366959,1.301160096,1.364322284
PGS000329,Total,1.966595763,1.920858573,2.013421993
PGS000337,Total,1.764493369,1.722050726,1.807982077
PGS000349,Total,1.097231879,1.071765796,1.123303058
PGS000746,Total,1.291167055,1.261107476,1.32194313
PGS000747,Total,1.232689447,1.203590426,1.262491989
PGS000748,Total,1.226795328,1.19811907,1.256157935
PGS000749,Total,1.233011268,1.204255005,1.262454198
PGS000798,Total,1.315504756,1.284888066,1.34685099
PGS000818,Total,1.268071184,1.23852732,1.298319788
PGS000899,Total,1.361725756,1.330132939,1.394068954
PGS000962,Total,1.461519007,1.4275226,1.496325037
PGS001355,Total,1.382918818,1.35034393,1.416279524
PGS001780,Total,1.371935702,1.339532243,1.405123005
PGS001839,Total,1.874942391,1.829724938,1.921277288
PGS002048,Total,1.900046425,1.854751339,1.946447666
PGS002244,Total,1.320194541,1.289306882,1.351822169
PGS002262,Total,1.202656688,1.174449615,1.231541217
PGS002775,Total,1.269065093,1.239527597,1.299306458
PGS002776,Total,1.368885176,1.336958439,1.401574328
PGS002809,Total,1.319682041,1.289061836,1.351029594
PGS003355,Total,1.384137079,1.351531025,1.417529764
PGS003356,Total,1.865943467,1.820687534,1.912324305
PGS003438,Total,1.368935541,1.337219148,1.401404188
PGS003446,Total,1.695406327,1.654060886,1.737785252
PGS003725,Total,1.533732154,1.49698989,1.571376225
PGS003726,Total,1.535213468,1.498717609,1.572598051
PGS003727,Total,1.489728301,1.454357305,1.525959544
PGS003866,Total,1.623702762,1.58511427,1.663230663
PGS004196,Total,1.549272497,1.51347952,1.585911959
PGS004197,Total,1.851835353,1.807736494,1.897009983
PGS004198,Total,1.650438589,1.611797865,1.690005672
