Exposure,Term,HR,CI_lower,CI_upper,P_value
df1,df1,1.18116071630352,1.1074948555677,1.2597265176672,4.02964522052585e-07
df2,df2,1.20152555961186,1.12769406326112,1.28019089346426,1.39353603601366e-08
df3,df3,1.1762266382388,1.10291809558551,1.2544078386601,7.66945076400441e-07
df4,df4,1.38095054262357,1.29575293395856,1.47175001591263,2.94506523352145e-23
df5,df5,1.3604636294308,1.27349449488604,1.45337203610735,6.65868161750534e-20
df6,df6,1.28059348985818,1.20007766066554,1.36651130174165,8.33296974946141e-14
df7,df7,1.18972716767928,1.11618500142807,1.26811481224278,9.48321177861356e-08
df8,df8,1.34893547032321,1.26529817766636,1.43810125961938,4.93596687455315e-20
df9,df9,1.23150121962279,1.15494647521663,1.31313033675259,2.02694027470581e-10
df10,df10,1.18245820399307,1.10979016784686,1.25988447609267,2.2286178115313e-07
df11,df11,1.39141977038041,1.3032728675431,1.48552849186162,4.47844430381271e-23
df12,df12,1.43827996687609,1.34344185636655,1.53981302079714,1.57527495616445e-25
df13,df13,1.76631467814975,1.65331234957377,1.88704060854052,8.11218622734071e-64
df14,df14,1.08162675521377,1.01470497639034,1.15296215630683,0.0160409252409633
df15,df15,1.30640775542051,1.22321314239527,1.39526069845917,1.69886341273964e-15
df16,df16,1.24005818724914,1.15964588004703,1.32604645454461,3.17286080811947e-10
df17,df17,1.25198993657929,1.17280674036385,1.33651926387253,1.56314335388616e-11
df18,df18,1.24797111685143,1.16937715592103,1.33184738611447,2.47673334466617e-11
df19,df19,1.28171495128887,1.20155176305196,1.36722633753599,4.98812094588409e-14
df20,df20,1.28351352220564,1.20433031578613,1.36790292504542,1.55720900178611e-14
df21,df21,1.35325414982951,1.26889860570787,1.44321759500175,3.19505465926643e-20
df22,df22,1.3323602801574,1.24907347597348,1.42120055408077,2.95849280526571e-18
df23,df23,1.39564958689186,1.30839356764607,1.48872466019209,4.47591830711161e-24
df24,df24,1.39847851448399,1.31085795352493,1.49195582192129,3.00423420151217e-24
df25,df25,1.77904439361928,1.66627021463833,1.8994511974489,1.30064433565584e-66
df26,df26,1.78123964988964,1.66882321592355,1.90122875812408,1.74176151293658e-67
df27,df27,1.35656001865537,1.271898024241,1.44685741241906,1.7740284833639e-20
df28,df28,1.21532194070472,1.14009075055452,1.29551741283743,2.2124195610835e-09
df29,df29,1.24958666537916,1.17099068238829,1.33345794956175,1.78606592401298e-11
df30,df30,1.3084157043116,1.22516164555494,1.3973271702558,1.10939047322507e-15
df31,df31,1.30116782943677,1.21942331921545,1.38839211427453,1.8272065170303e-15
df32,df32,1.38004059714343,1.29240535081616,1.47361820233975,6.39646964999177e-22
df33,df33,1.89963412018435,1.77756805848131,2.03008249014759,5.7294694834864e-80
df34,df34,1.35657944196643,1.27252664758334,1.44618408255803,9.17641519761612e-21
df35,df35,1.57409869292038,1.47764008171347,1.67685400911731,6.52307227274121e-45
df36,df36,1.55727819226161,1.45760214486697,1.66377044424212,2.37522265594147e-39
df37,df37,1.56395931610788,1.46509896786157,1.66949045497638,4.37964368426377e-41
df38,df38,1.53139835060621,1.43530313376389,1.63392725416092,5.14880912754838e-38
df39,df39,1.62595120239729,1.52385100178427,1.73489226274858,7.36709455531105e-49
df40,df40,1.44799044866591,1.36011703826365,1.54154111774407,4.68043568545246e-31
df41,df41,1.67433879680068,1.57160535559291,1.78378776611786,2.6714289791678e-57
df42,df42,1.55178473997533,1.45802266785914,1.65157643451189,1.969750629534e-43
df43,df43,1.54879370880612,1.4540507384611,1.64970993720354,4.99425540725689e-42
df44,df44,1.63362591385481,1.53389259587513,1.73984386755279,1.19311991529296e-52
df45,df45,1.21818952670103,1.14325996151701,1.29802999572814,1.10364643195657e-09
df46,df46,1.4837119075574,1.38640251272006,1.58785129457718,4.1838254842913e-30
df47,df47,1.47267194650558,1.37547391745549,1.57673848591514,1.1065800209039e-28
df48,df48,1.45723834498982,1.36096924762367,1.56031710328244,3.5040259213228e-27
df49,df49,1.45582012834326,1.35898216570424,1.55955854283863,1.08385058511491e-26
df50,df50,1.23574038388611,1.15967712312048,1.31679263643484,6.55518007753563e-11
df51,df51,1.22180155563143,1.14593991219944,1.30268526774516,9.05098810134183e-10
df52,df52,1.88804520404432,1.76760203891835,2.01669528209873,1.20488087074504e-79
df53,df53,1.99796069916315,1.86759743141862,2.13742366970826,6.67180076646801e-90
df54,df54,1.66930603086554,1.56424593088992,1.78142232602692,7.53340351542408e-54
df55,df55,1.66092321324798,1.55332659645909,1.77597288721803,7.15038110116665e-50
df56,df56,1.54826417560857,1.44890126199616,1.65444121027982,3.60018141048051e-38
df57,df57,1.76177612721671,1.64519847885349,1.8866143886747,4.05551980128149e-59
df58,df58,1.71072978493167,1.5996146385694,1.82956340013851,2.42106002182422e-55
