Exposure,Term,HR,CI_lower,CI_upper,P_value
df1,df1,1.21157159607186,1.18210983706904,1.24176763137991,1.03661406059001e-52
df2,df2,1.18560804545252,1.15608245432325,1.21588770090332,5.71025212905107e-40
df3,df3,1.20226533671437,1.17196918806101,1.23334466007281,1.9654667018457e-45
df4,df4,1.36919472218957,1.33458459307574,1.40470240477696,7.37399569851918e-128
df5,df5,1.3714034417848,1.33680302385341,1.4068994209168,1.21516676141147e-129
df6,df6,1.27865089819629,1.24688049300364,1.31123081051633,1.0045466670417e-81
df7,df7,1.16666288215671,1.13755674348122,1.19651374615114,5.85751465653454e-33
df8,df8,1.36104912812733,1.3271875661864,1.39577462626408,4.34590938396778e-127
df9,df9,1.21211303456813,1.18210980358654,1.24287778014559,3.85404427435176e-51
df10,df10,1.16874419589901,1.13964650187427,1.19858481836356,8.05233342392872e-34
df11,df11,1.32399795225299,1.29073779727609,1.35811516581408,1.13416250385201e-103
df12,df12,2.05453115245557,2.00371310989745,2.10663803892887,0
df13,df13,1.76460624681829,1.71898029898343,1.81144321907096,0
df14,df14,1.0998435162938,1.07241395625101,1.12797465314819,1.51763404092719e-13
df15,df15,1.2890592083721,1.25694149007478,1.32199760753387,1.33436702020751e-86
df16,df16,1.23176976764954,1.20063402963457,1.26371294086775,2.4969148484338e-57
df17,df17,1.22298202345813,1.19233315522006,1.25441871942721,1.72189771986832e-54
df18,df18,1.23075568379976,1.19997346495152,1.26232754093993,4.36858032413259e-58
df19,df19,1.32098952086902,1.28799494991419,1.35482931385873,3.35844009620091e-103
df20,df20,1.26583565680681,1.23412031434247,1.29836604374935,4.38173379968561e-74
df21,df21,1.3632438294641,1.32930568402372,1.39804844055626,3.10951940908492e-128
df22,df22,1.48275456759218,1.44573631372191,1.52072067834796,8.5565682556661e-205
df23,df23,1.38120320630393,1.34621404916193,1.41710175903444,2.26697166085832e-134
df24,df24,1.3682129256914,1.33344830162392,1.40388390592213,5.59151719371683e-126
df25,df25,1.8912889188573,1.84216466068016,1.94172315371186,0
df26,df26,1.92007984704195,1.87084284809723,1.97061266945338,0
df27,df27,1.31481571072195,1.28175961485261,1.34872431080618,1.56730712918651e-98
df28,df28,1.2009068203844,1.17059684082962,1.23200160887473,9.25497338251378e-45
df29,df29,1.27220964974548,1.24046224815709,1.30476956901357,8.26212476772501e-78
df30,df30,1.37830516161432,1.34388858457565,1.4136031367009,1.60146738771598e-136
df31,df31,1.32263608926657,1.28974060221058,1.35637059237493,5.42009932341479e-105
df32,df32,1.38526645913151,1.35024390642165,1.42119742490103,2.47651182516389e-137
df33,df33,1.86211898687664,1.81352098703919,1.91201929620215,0
df34,df34,1.37084463710779,1.33673921155749,1.40582022494697,5.63938555997325e-133
df35,df35,1.71829758961339,1.67279490112547,1.76503802377964,0
df36,df36,1.5303961458783,1.49101039815687,1.57082228682938,1.55965538822691e-224
df37,df37,1.53131465142266,1.49217619696714,1.57147967272751,2.66539849729456e-228
df38,df38,1.4838073201946,1.4458910184106,1.52271791955889,3.67197987798514e-196
df39,df39,1.62337647975663,1.58187218487239,1.66596974156898,2.48116981759123e-294
df40,df40,1.56652043260812,1.52753426951371,1.60650161162011,5.56692596780097e-267
df41,df41,1.88355480206559,1.83508897864563,1.93330063755422,0
df42,df42,1.66763192490098,1.6254532456603,1.71090509331706,0
df43,df43,1.68440903214343,1.64191944749207,1.72799816209016,0
df44,df44,1.77491608076174,1.72964629274526,1.82137070854323,0
df45,df45,1.22069352191583,1.19086454634172,1.2512696586902,3.15983391786897e-56
df46,df46,1.90604577447165,1.85852272211087,1.95478400729744,0
df47,df47,2.04123844363517,1.99024612430458,2.09353724290258,0
df48,df48,1.75938039682002,1.71457127736914,1.8053605712235,0
df49,df49,1.81119486251824,1.76512690494254,1.85846514538242,0
df50,df50,1.26054702687402,1.22891727482012,1.29299086237803,2.47362222537722e-71
df51,df51,1.18739952581356,1.15781366407245,1.21774140144718,1.30979412885427e-40
df52,df52,1.90469250176577,1.85445747499357,1.95628833510747,0
df53,df53,1.98482968566669,1.93261319740365,2.0384569899431,0
df54,df54,1.76030092646063,1.71415628816618,1.80768776633145,0
df55,df55,1.77829765157758,1.73265691076338,1.82514063688065,0
df56,df56,1.55933133541729,1.51912518691656,1.60060160581605,1.27840871229969e-243
df57,df57,1.81533637003635,1.76736510684269,1.8646097083267,0
df58,df58,1.74432109637579,1.69862170435709,1.79124997605823,0
