"","Overall"
"n","22"
"Sex = Male (%)","9 (40.9)"
"Age (mean (SD))","47.09 (4.00)"
"Townsend Deprivation Index (mean (SD))","-1.02 (3.47)"
"LE8 Diet Score (mean (SD))","52.50 (29.59)"
"LE8 PA Score (mean (SD))","34.55 (27.73)"
"LE8 Smoking Score (mean (SD))","92.05 (19.50)"
"LE8 Sleep Health Points (mean (SD))","93.18 (15.85)"
"LE8 BMI Points (mean (SD))","73.18 (33.68)"
"LE8 Blood Lipid Points (mean (SD))","60.00 (26.19)"
"LE8 HbA1c Score (mean (SD))","100.00 (0.00)"
"LE8 BP Score (mean (SD))","70.45 (21.32)"
"LE8 Composite Score (mean (SD))","71.99 (9.10)"
"Race = White (%)","20 (90.9)"
"Alcohol intake frequency (%)",""
"   1-2x/wk","8 (36.4)"
"   1-3x/mo","4 (18.2)"
"   3-4x/wk","7 (31.8)"
"   Never","1 (4.5)"
"   Special Occasions Only","2 (9.1)"
"Chronic Kidney Disease = 0 (%)","22 (100.0)"
"Rheumatoid arthritis = 0 (%)","22 (100.0)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.02)"
"Apolipoprotein B (mean (SD))","0.92 (0.12)"
"Lipoprotein A (mean (SD))","88.98 (61.87)"
"Age of CAD Onset (mean (SD))","49.44 (3.84)"
"C Reactive Protein (mean (SD))","2.75 (5.85)"
"Family Heart Disease History (%)",""
"   both_parents","3 (13.6)"
"   father","9 (40.9)"
"   mother","2 (9.1)"
"   no_history","8 (36.4)"
