"variable","p_value"
"Age",0.861548943178809
"Townsend Deprivation Index",0.674776067735561
"LE8 Diet Score",0.708566596774225
"LE8 PA Score",0.23158908279326
"LE8 Smoking Score",0.803173004186834
"LE8 Sleep Health Points",0.945220378202956
"LE8 BMI Points",0.293883597315405
"LE8 Blood Lipid Points",0.00697429277949278
"LE8 HbA1c Score",0.32818326188067
"LE8 BP Score",0.892488690002195
"LE8 Composite Score",0.845173719085667
"Pooled Cohort Equation Risk",0.64814979408049
"Apolipoprotein B",0.00795542074449472
"Lipoprotein A",0.00153783179927478
"C Reactive Protein",0.98043371385693
"Age of CAD Onset",0.844522296142036
