"","Overall"
"n","26"
"Sex = Male (%)","16 (61.5)"
"Age (mean (SD))","46.88 (4.13)"
"Townsend Deprivation Index (mean (SD))","-0.61 (3.19)"
"LE8 Diet Score (mean (SD))","52.75 (39.49)"
"LE8 PA Score (mean (SD))","28.00 (17.65)"
"LE8 Smoking Score (mean (SD))","92.50 (20.03)"
"LE8 Sleep Health Points (mean (SD))","95.50 (10.99)"
"LE8 BMI Points (mean (SD))","67.50 (32.71)"
"LE8 Blood Lipid Points (mean (SD))","83.00 (21.79)"
"LE8 HbA1c Score (mean (SD))","98.00 (8.94)"
"LE8 BP Score (mean (SD))","72.50 (22.80)"
"LE8 Composite Score (mean (SD))","73.72 (11.26)"
"Race = White (%)","22 (84.6)"
"Alcohol intake frequency (%)",""
"   1-2x/wk","8 (32.0)"
"   1-3x/mo","2 (8.0)"
"   3-4x/wk","4 (16.0)"
"   Daily or almost Daily","2 (8.0)"
"   Never","4 (16.0)"
"   Special Occasions Only","5 (20.0)"
"Chronic Kidney Disease = 1 (%)","1 (3.8)"
"Rheumatoid arthritis = 0 (%)","26 (100.0)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.01)"
"Apolipoprotein B (mean (SD))","0.82 (0.12)"
"Lipoprotein A (mean (SD))","32.83 (37.53)"
"Age of CAD Onset (mean (SD))","49.16 (6.13)"
