Quantile,Cutoff,HR,CI_lower,CI_upper,P_value,HR_diff
0.1,0.33,1.67167731722546,1.50554281937501,1.85614451941406,6.510399933824e-22,2.20832268277454
0.08,0.3,1.66352608284812,1.48273678141025,1.86635892695936,4.31457518542312e-18,2.21647391715188
0.11,0.35,1.66341656126453,1.50737134623784,1.8356157977893,4.28102481080011e-24,2.21658343873547
0.09,0.31,1.65974564584878,1.48535033792114,1.85461674500944,3.71151716755248e-19,2.22025435415122
0.12,0.36,1.65709368513833,1.50548870360785,1.82396551680841,5.89288435437897e-25,2.22290631486167
0.05,0.24,1.63862608660333,1.41145517443219,1.90235970673112,8.81708278413557e-11,2.24137391339667
0.07,0.28,1.62991269376893,1.44096520872049,1.84363603869939,7.78496221080959e-15,2.25008730623107
0.99,19.5065000000002,1.61193009013824,1.33150225910688,1.95141885619926,9.77947099908888e-07,2.26806990986176
0.16,0.43,1.60991623993869,1.48413402000853,1.74635866079225,1.81241854616153e-30,2.27008376006131
0.15,0.41,1.59767228414432,1.4682874193459,1.73845848836603,1.53009113207248e-27,2.28232771585568
0.14,0.4,1.59724278117468,1.46529109495798,1.74107691693013,1.85247351767975e-26,2.28275721882532
0.13,0.38,1.59361028533442,1.45650095674497,1.74362655222637,3.23847520233212e-24,2.28638971466558
0.06,0.26,1.57355663434694,1.37877219248976,1.79585902224064,1.76951946531721e-11,2.30644336565307
0.19,0.48,1.57135600201823,1.45902665508394,1.69233349951145,7.08713698462382e-33,2.30864399798178
0.17,0.45,1.5637157288146,1.44685826625674,1.6900113422086,1.62133309483822e-29,2.3162842711854
0.18,0.46,1.56320212545766,1.44823391133664,1.68729710436074,2.05123670521332e-30,2.31679787454234
0.2,0.5,1.55128614653727,1.44397875278099,1.66656794901155,3.31838809657253e-33,2.32871385346273
0.04,0.22,1.54934477195468,1.3152606127753,1.82509017533654,1.61442588923756e-07,2.33065522804532
0.21,0.51,1.54571649022244,1.44029972630536,1.65884879689204,1.28971516471845e-33,2.33428350977756
0.01,0.15,1.52698347188624,1.1187671831005,2.08414990950294,0.00765125707553958,2.35301652811376
0.22,0.53,1.51744296331296,1.41696683955739,1.62504377846081,8.1772186450073e-33,2.36255703668704
0.25,0.58,1.50235959937681,1.40838972242741,1.60259928761017,4.78552926431297e-35,2.37764040062319
0.24,0.57,1.50028651259096,1.40552944963921,1.60143184508879,3.66889519836244e-34,2.37971348740904
0.23,0.55,1.49748459478158,1.40098046008452,1.60063625118144,1.49615150223469e-32,2.38251540521843
0.26,0.6,1.49140775508015,1.40000193875311,1.58878143689876,3.07390126108887e-35,2.38859224491985
0.97,10.8,1.48635839087928,1.3172009017891,1.67723941210222,1.28180122381426e-10,2.39364160912072
0.85,3.67,1.48305650452395,1.39527437769742,1.57636134567345,9.86298957628598e-37,2.39694349547605
0.86,3.86,1.48008874593445,1.39020525869177,1.57578363493122,1.37003102792342e-34,2.39991125406555
0.02,0.18,1.47779559534118,1.18666742851653,1.84034698275985,0.000485069504739642,2.40220440465882
0.28,0.64,1.4734309256738,1.38647618895998,1.56583914676563,8.59762983708857e-36,2.4065690743262
0.27,0.62,1.47314828564622,1.38477781624444,1.56715817226763,1.24970451991931e-34,2.40685171435378
0.53,1.27,1.46652675487394,1.39638025151103,1.54019703475023,6.41929814267705e-53,2.41347324512606
0.52,1.24,1.46326629821359,1.39309939742162,1.53696732871364,4.57214089045148e-52,2.41673370178641
0.83,3.34,1.46295310764365,1.37976699464416,1.55115450903807,3.66096774857327e-37,2.41704689235635
0.54,1.31,1.46274601562901,1.39301475613244,1.53596786883938,1.40069094197848e-52,2.41725398437099
0.84,3.5,1.46205835596119,1.37715434589887,1.5521968489601,1.50488179427888e-35,2.41794164403881
0.51,1.21,1.45608789833835,1.38607171258959,1.52964088973885,1.69010367773362e-50,2.42391210166165
0.87,4.08,1.45501816425293,1.36364134674883,1.55251808941806,9.06005859362215e-30,2.42498183574707
0.29,0.66,1.45475520689923,1.3705140266588,1.54417442713798,7.433409597004e-35,2.42524479310077
0.3,0.68,1.45417430575961,1.37115297539889,1.54222245764829,9.13300306805431e-36,2.42582569424039
0.6,1.54,1.45327848194832,1.38442043064334,1.52556138247147,1.7689334171544e-51,2.42672151805168
0.59,1.5,1.45246826922176,1.38365407883603,1.52470484159652,2.44218340582839e-51,2.42753173077824
0.55,1.34,1.45243296763376,1.38334312475285,1.52497344131183,6.32322701617667e-51,2.42756703236624
0.98,13.68,1.45185578059161,1.25383715857226,1.68114750246954,6.24279116224271e-07,2.42814421940839
0.63,1.68,1.45183738148731,1.38281029131155,1.52431016425595,7.22352737203136e-51,2.42816261851269
0.5,1.18,1.44904543869701,1.37915217115431,1.52248078734574,5.98185372388182e-49,2.43095456130299
0.88,4.31,1.44666193677937,1.35296766958016,1.54684461896688,3.13005960344867e-27,2.43333806322063
0.96,8.93600000000006,1.44663440392797,1.29904347331639,1.61099389020857,1.75492431378362e-11,2.43336559607203
0.61,1.59,1.4461854639232,1.37760853367923,1.51817613271968,4.16295523586731e-50,2.4338145360768
0.03,0.2,1.44523437205707,1.20428885822466,1.73438654348619,7.57017118618956e-05,2.43476562794293
0.64,1.73,1.44303468623292,1.37425172952885,1.51526031288696,4.93741597700368e-49,2.43696531376708
0.49,1.14,1.44224397519877,1.37234720420981,1.51570074804418,2.58337320615102e-47,2.43775602480123
0.62,1.63,1.44154789032723,1.3731122690358,1.5133943283211,3.70588233255854e-49,2.43845210967277
0.82,3.19,1.44082855645384,1.36015669257313,1.52628512613906,1.95174238336621e-35,2.43917144354616
0.67,1.89,1.43972792296364,1.37040393434112,1.51255877206584,1.74540552876066e-47,2.44027207703636
0.56,1.38,1.4396222045849,1.37128131803627,1.51136901281629,8.12701234787876e-49,2.4403777954151
0.58,1.46,1.43933020506122,1.37112157507272,1.51093198215607,6.23727701458282e-49,2.44066979493878
0.66,1.83,1.4372682224949,1.36834422811902,1.50966394343133,1.94883378675582e-47,2.4427317775051
0.65,1.78,1.43724029523831,1.36852756423573,1.50940304034746,1.01920890689592e-47,2.44275970476169
0.31,0.7,1.43686873815095,1.35613061720596,1.5224136557946,1.09745106780072e-34,2.44313126184905
0.91,5.26,1.43505671132828,1.33043975206792,1.54790005449507,8.54765228736163e-21,2.44494328867172
0.33,0.74,1.43464447177016,1.35599398425607,1.51785685207877,4.16982775548903e-36,2.44535552822984
0.57,1.42,1.43392496181856,1.3659298855278,1.5053047875381,6.66180196523772e-48,2.44607503818144
0.44,1,1.43381226766878,1.36247911153732,1.50888010062618,1.47025830057317e-43,2.44618773233122
0.32,0.72,1.43366285202083,1.35411354260291,1.51788539778841,3.88673680434093e-35,2.44633714797917
0.41,0.92,1.4308245727568,1.35808315982049,1.50746214854418,2.78764637258681e-41,2.4491754272432
0.45,1.03,1.42980972417301,1.35919949262076,1.50408814779489,1.52980997125965e-43,2.45019027582699
0.8,2.94,1.42885933666638,1.35134511297809,1.5108198374872,4.47521287673653e-36,2.45114066333362
0.47,1.08,1.42846589028142,1.3586377168491,1.50188293346497,3.35366368864283e-44,2.45153410971858
0.76,2.52,1.42841257647931,1.35493439180904,1.50587548812608,5.6469021897682e-40,2.45158742352069
0.95,7.72,1.42805153542371,1.29450673521983,1.57537317677972,1.136013634134e-12,2.45194846457629
0.42,0.95,1.42718869984626,1.35531587753274,1.50287296027023,1.73704568277561e-41,2.45281130015374
0.43,0.98,1.42691751097437,1.35561987725338,1.5019649809581,4.34391569666448e-42,2.45308248902563
0.4,0.9,1.42548462443365,1.35260080190789,1.50229573398931,5.20609839279664e-40,2.45451537556635
0.48,1.11,1.42500019013059,1.35570773031182,1.49783430194438,4.43241362335763e-44,2.45499980986941
0.68,1.95,1.42305446059785,1.35414653077608,1.49546888154476,4.06853877131176e-44,2.45694553940215
0.75,2.44,1.42284489179531,1.35032334649398,1.49926133719337,7.43940617488277e-40,2.45715510820469
0.69,2.01,1.42222002292657,1.35298590864255,1.49499694024355,1.61191705162338e-43,2.45777997707343
0.46,1.06,1.42099555018794,1.35130796973121,1.49427695157868,1.0878640094251e-42,2.45900444981206
0.89,4.59,1.418343592211,1.32258839788952,1.52103144770973,1.12949628412608e-22,2.461656407789
0.79,2.83,1.41828321677091,1.34229136029349,1.49857724073723,1.64178013854383e-35,2.46171678322909
0.77,2.62,1.41816344769783,1.34421568451192,1.49617921257662,1.95254565500661e-37,2.46183655230217
0.92,5.67,1.41619573585161,1.30741796377014,1.53402386828219,1.41690339790272e-17,2.46380426414839
0.39,0.88,1.41482827361318,1.34208016050201,1.49151973386336,5.52431360864361e-38,2.46517172638682
0.7,2.07,1.41443767143178,1.34515328939083,1.48729066207121,1.02606245626804e-41,2.46556232856822
0.71,2.14,1.41432439319619,1.34454915456353,1.48772061058572,4.0788666505318e-41,2.46567560680381
0.78,2.72,1.41336469565024,1.3386580601055,1.49224049250715,8.82711289552275e-36,2.46663530434976
0.72,2.21,1.41283574997486,1.3426089377839,1.48673586197168,2.80153311035204e-40,2.46716425002514
0.74,2.36,1.40924685312621,1.33798208875765,1.48430738328505,2.14433091229732e-38,2.47075314687379
0.81,3.06,1.40879365944169,1.3308859033813,1.49126200062733,3.54831085236185e-32,2.47120634055831
