Quantile,Cutoff,HR,CI_lower,CI_upper,P_value,HR_diff
0.96,162.3,1.36489241522234,1.20907608172698,1.54078914742119,4.91221776655269e-07,2.51510758477766
0.97,169.1,1.35414624467953,1.17801677989043,1.55660945012196,2.00388528518288e-05,2.52585375532047
0.88,118.7,1.34837486852228,1.25115844274024,1.45314512051767,4.92403243672915e-15,2.53162513147772
0.78,71.3402000000002,1.34522853155627,1.26616230858881,1.42923208962835,8.32092156068396e-22,2.53477146844373
0.87,113.97,1.34457096037332,1.25043139161881,1.44579788990961,1.30034416394053e-15,2.53542903962669
0.9,128.78,1.34251581077032,1.23839571487888,1.45538996987288,8.60835643543368e-13,2.53748418922968
0.89,123.8,1.34085465471132,1.24062476429273,1.44918210308819,1.36847384856744e-13,2.53914534528868
0.82,90.09,1.33788986631283,1.25424754869809,1.42711005992441,9.78386359470216e-19,2.54211013368717
0.92,139.08,1.3375349604228,1.22368065303285,1.4619825572295,1.48260823020378e-10,2.5424650395772
0.79,75.7,1.33514895036208,1.25553888533615,1.41980685781444,3.11564632382782e-20,2.54485104963792
0.81,85.2,1.33287170938765,1.25093451141008,1.4201758585135,6.90065683024919e-19,2.54712829061235
0.77,67.3292999999999,1.33020564556257,1.2528072858202,1.4123856713749,1.06860657498656e-20,2.54979435443743
0.95,156.0255,1.32938106817043,1.19027884093973,1.48473951113395,4.444859213586e-07,2.55061893182957
0.8,80.4,1.32869975369493,1.24820113395641,1.41438986669805,4.97851525626554e-19,2.55130024630507
0.94,149.8746,1.32835242116734,1.20015114070974,1.47024828371004,4.17452941622159e-08,2.55164757883266
0.93,144.2,1.32762178621782,1.20783506266614,1.45928832646199,4.25696329779211e-09,2.55237821378218
0.91,133.8,1.32245063563146,1.21476061577396,1.43968750795217,1.12515419727171e-10,2.55754936436854
0.83,94.9,1.31858638273268,1.23426639577259,1.40866676325553,2.35481948709027e-16,2.56141361726732
0.76,63.8,1.31792684020467,1.24192130786192,1.39858390796286,8.32720248149902e-20,2.56207315979533
0.85,104.5,1.31442729198609,1.22646916855826,1.40869346756498,1.02030926883137e-14,2.56557270801391
0.75,60.5,1.30351923853844,1.22897543479252,1.38258451482125,1.12038332159658e-18,2.57648076146156
0.74,57.5,1.30314664897882,1.22933240602726,1.38139300682119,5.58575673623498e-19,2.57685335102118
0.84,99.71,1.30285597278482,1.21750405870818,1.39419139811502,1.96566413475171e-14,2.57714402721518
0.86,109.3,1.30075187636062,1.21124242883549,1.39687597096673,4.88567140013693e-13,2.57924812363938
0.73,54.8,1.29412882321682,1.22142103787502,1.3711647000892,2.33767820840169e-18,2.58587117678318
0.72,52.3947999999998,1.27921662167567,1.20781346543896,1.35484096840781,4.35179789950975e-17,2.60078337832433
0.71,50.1,1.2682128714108,1.19791146736799,1.34264002893794,3.18565584179397e-16,2.6117871285892
0.98,175.7664,1.26546118069976,1.06185527276573,1.50810759331355,0.00852484264162913,2.61453881930024
0.99,182.4,1.26244528919116,0.988478986599147,1.61234394439107,0.0618840606045789,2.61755471080884
0.7,48,1.25982746767157,1.19045577821226,1.3332416687357,1.31875409425743e-15,2.62017253232843
0.69,45.91,1.25667040272327,1.1879481395437,1.32936821778033,1.68876792944726e-15,2.62332959727673
0.64,37.07,1.25415998348492,1.18735682098327,1.32472163074983,5.09744787519936e-16,2.62584001651508
0.68,44.05,1.25218886596024,1.18412007747269,1.32417056839487,3.11628699858717e-15,2.62781113403976
0.67,42.22,1.25052220071402,1.18293512306476,1.32197087058089,3.11747238902498e-15,2.62947779928598
0.66,40.4,1.24819415542633,1.18108152056585,1.31912033378867,3.77584497035413e-15,2.63180584457367
0.01,3.92,1.24749880293334,0.927206799623477,1.67843167667891,0.144088728349319,2.63250119706666
0.62,33.9,1.2467346658479,1.1807688405559,1.31638579342515,1.85182997178387e-15,2.6332653341521
0.65,38.7,1.24651059919634,1.17979109578817,1.31700322154982,4.13627820619584e-15,2.63348940080366
0.61,32.5,1.24455368846165,1.1788802534145,1.31388568005718,2.5820548791611e-15,2.63544631153835
0.63,35.46,1.24413355209747,1.17807562526261,1.31389552781014,4.24617867540862e-15,2.63586644790253
0.6,31.1,1.23641620819723,1.17130561875776,1.30514616801216,1.48756496750297e-14,2.64358379180277
0.59,29.8,1.23364715785766,1.16881034464273,1.30208063016029,2.48243456013486e-14,2.64635284214234
0.58,28.52,1.22006996786092,1.1560295968077,1.28765797224114,4.80742896332949e-13,2.65993003213908
0.57,27.36,1.21821291785227,1.15435595392802,1.28560233797232,6.71173213409359e-13,2.66178708214773
0.03,4.3,1.21067740038372,1.02532127756357,1.42954193955953,0.0241395451063846,2.66932259961628
0.56,26.2,1.20712592720768,1.14390371216651,1.27384235984094,6.96660073483644e-12,2.67287407279232
0.55,25.1,1.19710088324854,1.13443865026945,1.2632243483013,5.44421416748644e-11,2.68289911675146
0.54,24.11,1.19426481147348,1.13176716582603,1.26021365788855,9.57577154695935e-11,2.68573518852652
0.53,23.17,1.19258994884122,1.1301731460315,1.25845388476205,1.34842482505545e-10,2.68741005115878
0.52,22.23,1.18503870557125,1.12298843185279,1.25051754218434,6.12901711120512e-10,2.69496129442875
0.51,21.4,1.17833208484488,1.11659479878056,1.24348286745668,2.28056798409477e-09,2.70166791515512
0.49,19.8,1.17018525628047,1.10872670813675,1.23505055300544,1.13241147904155e-08,2.70981474371953
0.5,20.6,1.16942257058002,1.10809855166727,1.23414036280828,1.23433128433087e-08,2.71057742941998
0.46,17.8,1.16851136514144,1.10672061478476,1.2337520348171,1.93097684406295e-08,2.71148863485856
0.48,19.1,1.1677680106537,1.10632486013121,1.23262359533743,1.86621067652613e-08,2.7122319893463
0.45,17.2,1.16730405795307,1.10539095705198,1.23268492022739,2.64365363095686e-08,2.71269594204693
0.44,16.7,1.15887800810228,1.09725654320164,1.22396010849424,1.22814760055995e-07,2.72112199189772
0.47,18.47,1.15828017705416,1.09722679508764,1.22273077413267,1.04722211877576e-07,2.72171982294584
0.43,16.14,1.15375320567178,1.09216972234347,1.21880915792251,3.21826818100805e-07,2.72624679432822
0.1,5.7,1.15101213043532,1.04755852700675,1.264682488142,0.00342372405507071,2.72898786956468
0.35,12.6,1.1478502527841,1.08377982279225,1.21570837093272,2.53339249479726e-06,2.7321497472159
0.42,15.62,1.14778773077979,1.08630148178396,1.21275419118928,9.25934701437304e-07,2.73221226922021
0.38,13.8,1.14698508591029,1.08425362627582,1.21334598789339,1.76348959475204e-06,2.73301491408971
0.36,13,1.14562889799911,1.08219703309748,1.21277875635466,2.89604119269952e-06,2.73437110200089
0.11,5.91,1.14488438966558,1.04587527127401,1.25326633270834,0.00336879886511136,2.73511561033443
0.33,11.93,1.14400517712299,1.07912129168518,1.21279030945673,6.30039497948047e-06,2.73599482287701
0.41,15.13,1.14364105093459,1.08212035431085,1.20865932164792,1.96071160434032e-06,2.73635894906541
0.39,14.26,1.14341733208137,1.08126975279023,1.20913693546897,2.59800269913815e-06,2.73658266791863
0.4,14.7,1.14333316364555,1.08154572356969,1.20865044778435,2.29543955356332e-06,2.73666683635445
0.37,13.4,1.14315834570356,1.08029545510958,1.2096792568836,3.54624816869313e-06,2.73684165429644
0.34,12.3,1.14294605452843,1.07874667614323,1.21096612620167,5.9017293264786e-06,2.73705394547157
0.09,5.5,1.14075623627883,1.03405266010435,1.25847052168283,0.00858221424465714,2.73924376372117
0.07,5.1,1.13738225701073,1.01962424501268,1.26874032751813,0.0209728832443077,2.74261774298927
0.21,8.4,1.13604586892105,1.06103652384068,1.21635795497495,0.000252279855471992,2.74395413107895
0.13,6.4,1.13452509711901,1.04400463115532,1.23289414393548,0.00292950948579294,2.74547490288099
0.22,8.7,1.13355355481275,1.06024414573425,1.21193186191919,0.000237959948913125,2.74644644518725
0.16,7.14,1.13171522866653,1.04857033508255,1.22145297834972,0.00148213407278977,2.74828477133347
0.2,8.17,1.13151040858462,1.05551465317749,1.2129777648099,0.000495697608412334,2.74848959141538
0.14,6.63,1.1312185486999,1.04343275378748,1.22638991375129,0.00277577199861332,2.74878145130011
0.15,6.9,1.13045504967121,1.04557179346687,1.22222943207929,0.00207734270663783,2.74954495032879
0.32,11.6,1.12917870500227,1.06472990892506,1.19752862875607,5.08425888706476e-05,2.75082129499774
0.31,11.3,1.129059032333,1.06405587776033,1.19803322845783,6.01584718129596e-05,2.750940967667
0.23,8.98,1.12808606888997,1.05620726546819,1.20485649022641,0.000333362533924458,2.75191393111003
0.12,6.19,1.12703160581818,1.03395516048093,1.22848677492193,0.00654332485845565,2.75296839418182
0.24,9.22,1.12665361360169,1.05596575559317,1.20207341792888,0.000309576387312683,2.75334638639831
0.26,9.8,1.12572186934549,1.0571310510103,1.19876312961537,0.00022239763246132,2.75427813065451
0.19,7.9,1.1254164825878,1.04853634099076,1.20793358300154,0.00106491157423286,2.7545835174122
0.08,5.3,1.12482332364943,1.01521532410091,1.24626518078444,0.0245352159771145,2.75517667635057
0.04,4.5,1.12470760062163,0.977487547240358,1.29410056472568,0.100619227546889,2.75529239937837
0.3,11,1.12359872856159,1.05834028626986,1.19288107917995,0.000134916128259927,2.75640127143841
0.06,4.88,1.12192374552417,0.996077361194314,1.26366981100922,0.0580637304701453,2.75807625447583
0.18,7.63620000000003,1.12098326810108,1.04267227767227,1.20517588725759,0.00199557771956088,2.75901673189893
0.25,9.5,1.11942884057948,1.05035219516272,1.19304832692522,0.000517259192850391,2.76057115942052
0.29,10.7,1.11849387991154,1.05291133143042,1.18816135989343,0.00028082360625132,2.76150612008846
0.05,4.7,1.1172321342227,0.985147380484782,1.26702630130893,0.0841930831684383,2.7627678657773
0.17,7.4,1.11625364246844,1.03685199946904,1.20173582629164,0.00348671312653993,2.76374635753156
0.28,10.4,1.11524220642109,1.04914662997165,1.18550176252922,0.000466813306600753,2.76475779357891
0.27,10.1,1.1053754655009,1.03918892388677,1.17577746610439,0.00147180491656082,2.7746245344991
0.02,4.1,1.07399539315872,0.88286170410423,1.30650825510264,0.475261548746341,2.80600460684128
