PRS,group,prop,low_ci,high_ci
PGS000010,Total,0.115384615,0.057692308,0.182692308
PGS000011,Total,0.134615385,0.067307692,0.211538462
PGS000012,Total,0.144230769,0.076923077,0.211538462
PGS000013,Total,0.173076923,0.105769231,0.240384615
PGS000018,Total,0.153846154,0.086538462,0.230769231
PGS000019,Total,0.115384615,0.057692308,0.173076923
PGS000057,Total,0.086538462,0.038461538,0.144230769
PGS000058,Total,0.105769231,0.048076923,0.163461538
PGS000059,Total,0.144230769,0.077167356,0.211538462
PGS000200,Total,0.105769231,0.048076923,0.173076923
PGS000296,Total,0.173076923,0.105769231,0.25
PGS000329,Total,0.346153846,0.25024428,0.442307692
PGS000337,Total,0.298076923,0.211538462,0.39398649
PGS000349,Total,0.144230769,0.076923077,0.211538462
PGS000746,Total,0.115384615,0.057692308,0.182448028
PGS000747,Total,0.192307692,0.115384615,0.269230769
PGS000748,Total,0.163461538,0.096153846,0.240384615
PGS000749,Total,0.192307692,0.115628895,0.269230769
PGS000798,Total,0.125,0.067307692,0.192307692
PGS000818,Total,0.105769231,0.048076923,0.173076923
PGS000899,Total,0.096153846,0.038705818,0.153846154
PGS000962,Total,0.230769231,0.153846154,0.326678797
PGS001355,Total,0.173076923,0.105769231,0.25
PGS001780,Total,0.201923077,0.125,0.288461538
PGS001839,Total,0.288461538,0.211538462,0.375
PGS002048,Total,0.278846154,0.192307692,0.365384615
PGS002244,Total,0.153846154,0.096153846,0.230769231
PGS002262,Total,0.067307692,0.019230769,0.115384615
PGS002775,Total,0.105769231,0.048076923,0.172832644
PGS002776,Total,0.173076923,0.105769231,0.25
PGS002809,Total,0.134615385,0.076923077,0.201923077
PGS003355,Total,0.163461538,0.096153846,0.240384615
PGS003356,Total,0.326923077,0.240384615,0.423076923
PGS003438,Total,0.153846154,0.086538462,0.230769231
PGS003446,Total,0.326923077,0.240384615,0.423076923
PGS003725,Total,0.211538462,0.134615385,0.288461538
PGS003726,Total,0.192307692,0.125,0.278846154
PGS003727,Total,0.201923077,0.134615385,0.278846154
PGS003866,Total,0.240384615,0.153846154,0.326923077
PGS004196,Total,0.192307692,0.115384615,0.269230769
PGS004197,Total,0.317307692,0.230769231,0.413461538
PGS004198,Total,0.192307692,0.115384615,0.278601874
PGS004199,Total,0.240384615,0.163461538,0.326923077
PGS004200,Total,0.269230769,0.182692308,0.355769231
PGS004321,Total,0.125,0.067307692,0.192307692
PGS004443,Total,0.182692308,0.115384615,0.259615385
PGS004444,Total,0.307692308,0.221153846,0.394230769
PGS004513,Total,0.230769231,0.153846154,0.317063413
PGS004514,Total,0.326923077,0.240384615,0.423076923
PGS004595,Total,0.096153846,0.038461538,0.153846154
PGS004596,Total,0.134615385,0.076923077,0.211538462
PGS004696,Total,0.336538462,0.25,0.413461538
PGS004697,Total,0.365384615,0.269230769,0.451923077
PGS004698,Total,0.278846154,0.192307692,0.365384615
PGS004743,Total,0.288461538,0.202167356,0.375
PGS004744,Total,0.211538462,0.134615385,0.298076923
PGS004745,Total,0.298076923,0.211538462,0.384615385
PGS004746,Total,0.336538462,0.25,0.432692308
PGS000010,Male,0.146341463,0.048780488,0.268292683
PGS000011,Male,0.146341463,0.048780488,0.268292683
PGS000012,Male,0.195121951,0.097560976,0.341463415
PGS000013,Male,0.170731707,0.049400124,0.292682927
PGS000018,Male,0.170731707,0.073170732,0.292682927
PGS000019,Male,0.146341463,0.048780488,0.268292683
PGS000057,Male,0.048780488,0,0.12195122
PGS000058,Male,0.12195122,0.024390244,0.219512195
PGS000059,Male,0.12195122,0.024390244,0.243902439
PGS000200,Male,0.073170732,0,0.146341463
PGS000296,Male,0.170731707,0.073170732,0.292682927
PGS000329,Male,0.414634146,0.268292683,0.56097561
PGS000337,Male,0.365853659,0.219512195,0.512195122
PGS000349,Male,0.195121951,0.073170732,0.317073171
PGS000746,Male,0.12195122,0.024390244,0.219512195
PGS000747,Male,0.268292683,0.146341463,0.41401451
PGS000748,Male,0.268292683,0.146341463,0.414634146
PGS000749,Male,0.292682927,0.170731707,0.43902439
PGS000798,Male,0.146341463,0.048780488,0.268292683
PGS000818,Male,0.097560976,0.024390244,0.195121951
PGS000899,Male,0.195121951,0.073790368,0.341463415
PGS000962,Male,0.292682927,0.170731707,0.43902439
PGS001355,Male,0.170731707,0.073170732,0.292682927
PGS001780,Male,0.243902439,0.12195122,0.390243902
PGS001839,Male,0.365853659,0.219512195,0.512195122
PGS002048,Male,0.341463415,0.195121951,0.487804878
PGS002244,Male,0.146341463,0.048780488,0.243902439
PGS002262,Male,0.146341463,0.048780488,0.243902439
PGS002775,Male,0.097560976,0.024390244,0.195121951
PGS002776,Male,0.292682927,0.170731707,0.43902439
PGS002809,Male,0.146341463,0.048780488,0.268292683
PGS003355,Male,0.195121951,0.073170732,0.317073171
PGS003356,Male,0.414634146,0.268292683,0.56097561
PGS003438,Male,0.170731707,0.073170732,0.292682927
PGS003446,Male,0.317073171,0.170731707,0.463414634
PGS003725,Male,0.243902439,0.098180611,0.390243902
PGS003726,Male,0.243902439,0.12195122,0.390243902
