PRS,group,prop,low_ci,high_ci
PGS004697,Total,0.387734242,0.375468484,0.4
PGS000329,Total,0.373424191,0.361669506,0.385344905
PGS004696,Total,0.362010221,0.350259865,0.375293798
PGS004197,Total,0.347018739,0.334923339,0.358432709
PGS003356,Total,0.343100511,0.330834753,0.355877342
PGS002048,Total,0.33407155,0.322150836,0.347695842
PGS001839,Total,0.327768313,0.315502555,0.3396847
PGS000337,Total,0.327597956,0.315502555,0.340029744
PGS004743,Total,0.325212947,0.313121875,0.337649063
PGS004745,Total,0.323339012,0.310396151,0.335093697
PGS004200,Total,0.323168654,0.311073254,0.334578296
PGS004746,Total,0.315332198,0.303407155,0.32725724
PGS004698,Total,0.314139693,0.302218979,0.325894378
PGS003446,Total,0.303407155,0.290805009,0.314982826
PGS004443,Total,0.3,0.288079285,0.311413969
PGS004198,Total,0.291482112,0.279897785,0.302380681
PGS004199,Total,0.291482112,0.280413187,0.303918228
PGS004444,Total,0.289608177,0.278879967,0.301703578
PGS004513,Total,0.283986371,0.271890971,0.295911414
PGS003866,Total,0.281771721,0.270528109,0.29318569
PGS004196,Total,0.272231687,0.260988075,0.282282794
PGS003725,Total,0.269505963,0.258432709,0.280915604
PGS004514,Total,0.266780239,0.2560477,0.278360238
PGS003726,Total,0.263032368,0.252981261,0.274442009
PGS004744,Total,0.256729131,0.246000921,0.267968415
PGS003727,Total,0.248722317,0.236967632,0.260131958
PGS000962,Total,0.233219761,0.222146508,0.244459045
PGS003438,Total,0.226064736,0.214144021,0.237470049
PGS003355,Total,0.22197615,0.211584327,0.232534003
PGS000058,Total,0.216354344,0.205962521,0.227427598
PGS001355,Total,0.216354344,0.20528109,0.226571481
PGS000018,Total,0.216013629,0.205966849,0.226746167
PGS000013,Total,0.21516184,0.205110733,0.225894378
PGS001780,Total,0.21516184,0.204944703,0.225212947
PGS000899,Total,0.212606474,0.202218979,0.222487223
PGS000296,Total,0.211925043,0.202214651,0.223505042
PGS002776,Total,0.209369676,0.199152539,0.220268244
PGS002244,Total,0.204088586,0.193356048,0.214305723
PGS002809,Total,0.202555366,0.192333901,0.212768175
PGS000798,Total,0.195741056,0.185689949,0.205451448
PGS000746,Total,0.188074957,0.178364566,0.197610664
PGS002775,Total,0.183475298,0.173083475,0.193015332
PGS000818,Total,0.178364566,0.168313458,0.188926746
PGS000747,Total,0.175979557,0.165255675,0.185685621
PGS000749,Total,0.175468484,0.165587734,0.185344905
PGS000748,Total,0.174616695,0.165076661,0.184663474
PGS000019,Total,0.17427598,0.164906303,0.183982043
PGS004595,Total,0.174105622,0.165076661,0.183300612
PGS004321,Total,0.168483816,0.15911414,0.177338091
PGS000012,Total,0.163373083,0.154173765,0.173419863
PGS000059,Total,0.159284497,0.149744463,0.168143101
PGS000010,Total,0.158262351,0.149403748,0.167627699
PGS000011,Total,0.155877342,0.147193425,0.165753764
PGS004596,Total,0.154173765,0.145315162,0.163373083
PGS000057,Total,0.151107325,0.141737649,0.160131958
PGS000200,Total,0.148892675,0.139863714,0.158091993
PGS002262,Total,0.147359455,0.138160136,0.156388416
PGS000349,Total,0.127086882,0.119254754,0.135941158
PGS000010,British_White,0.163578402,0.153422077,0.173939032
PGS000011,British_White,0.159792787,0.149835705,0.169954174
PGS000012,British_White,0.165371588,0.15580793,0.175532975
PGS000013,British_White,0.217174736,0.20622144,0.228925004
PGS000018,British_White,0.219964136,0.208418173,0.230922495
PGS000019,British_White,0.177326161,0.166372864,0.187482486
PGS000057,British_White,0.152819287,0.142862205,0.162577126
PGS000058,British_White,0.216377764,0.204831801,0.228133094
PGS000059,British_White,0.15859733,0.148451129,0.169555688
PGS000200,British_White,0.151823072,0.141268262,0.161785216
PGS000296,British_White,0.215182307,0.204024706,0.226339908
PGS000329,British_White,0.407053198,0.393708987,0.421597928
PGS000337,British_White,0.328352261,0.314803746,0.34149723
PGS000349,British_White,0.125124527,0.115760112,0.134887428
PGS000746,British_White,0.193066348,0.181913809,0.204218887
PGS000747,British_White,0.177126918,0.166766288,0.187681728
PGS000748,British_White,0.175732218,0.165575893,0.186491333
PGS000749,British_White,0.178322375,0.168176174,0.188085276
PGS000798,British_White,0.199043634,0.187891095,0.21119745
PGS000818,British_White,0.180514047,0.171149631,0.190874676
PGS000899,British_White,0.215580793,0.204622435,0.226937637
PGS000962,British_White,0.244670253,0.233119228,0.256221278
PGS001355,British_White,0.21817095,0.207611078,0.229727037
PGS001780,British_White,0.215182307,0.203830525,0.225941423
PGS001839,British_White,0.340904563,0.328556566,0.354448017
PGS002048,British_White,0.34628412,0.332735605,0.35883136
