PRS,prop,low_ci,high_ci
df1,0.162587904360056,0.150499410709087,0.174402250351617
df2,0.157805907172996,0.145147679324895,0.170464135021097
df3,0.167651195499297,0.155281407896148,0.180309423347398
df4,0.226722925457103,0.211251758087201,0.239943741209564
df5,0.223909985935302,0.209845288326301,0.237412095639944
df6,0.177777777777778,0.165963431786217,0.190710153285287
df7,0.158931082981716,0.146561295378567,0.171589310829817
df8,0.230379746835443,0.215752461322082,0.245281180008212
df9,0.160056258790436,0.149085794655415,0.171308016877637
df10,0.155555555555556,0.144585091420534,0.167932489451477
df11,0.218565400843882,0.205063291139241,0.233192686357243
df12,0.383122362869198,0.367651195499297,0.39971870604782
df13,0.340365682137834,0.324613220815752,0.355274261603376
df14,0.126019690576653,0.115049226441632,0.137271448663854
df15,0.19549929676512,0.181997187060478,0.208431672272629
df16,0.181997187060478,0.168776371308017,0.194366974663627
df17,0.183403656821378,0.170745428973277,0.1957805907173
df18,0.185091420534459,0.172714486638537,0.19774964838256
df19,0.205063291139241,0.191568327727371,0.217158931082982
df20,0.181153305203938,0.167932489451477,0.193804386759267
df21,0.220253164556962,0.206751054852321,0.233473980309423
df22,0.244444444444444,0.230668187080395,0.259353023909986
df23,0.223909985935302,0.210689170182841,0.238811419108072
df24,0.218846694796062,0.205351731384193,0.233473980309423
df25,0.341772151898734,0.327152012678145,0.355836849507736
df26,0.355555555555556,0.340668414968331,0.372144752441405
df27,0.210689170182841,0.19803094233474,0.224753867791843
df28,0.151336146272855,0.139803094233474,0.163150492264416
df29,0.192967651195499,0.17891009987927,0.205907172995781
df30,0.216877637130802,0.20393811533052,0.231223628691983
df31,0.214627285513361,0.20084388185654,0.227285513361463
df32,0.224753867791843,0.211821492284333,0.238818565400844
df33,0.348523206751055,0.333052039381153,0.363417493631052
df34,0.241912798874824,0.227292659654235,0.256251644143233
df35,0.318424753867792,0.302960732790663,0.333614627285513
df36,0.288045007032349,0.27342486781176,0.304627057625426
df37,0.282137834036568,0.267236400863799,0.296757973257157
df38,0.262728551336146,0.246976090014065,0.276786102652375
df39,0.287201125175809,0.272573839662447,0.30323488045007
df40,0.292264416315049,0.277918424753868,0.306329113924051
df41,0.371870604781997,0.355562701848328,0.389015243279434
df42,0.316174402250352,0.300991675125402,0.331364275668073
df43,0.314486638537271,0.30014064697609,0.329395218002813
df44,0.353586497890295,0.337834036568214,0.369057665260197
df45,0.177215189873418,0.163713080168776,0.190154711673699
df46,0.316455696202532,0.300710381173222,0.330794541470941
df47,0.283544303797468,0.268073136427567,0.29760900140647
df48,0.29563994374121,0.28045721661626,0.311111111111111
df49,0.262728551336146,0.248382559774965,0.277918424753868
df50,0.190998593530239,0.178059071729958,0.20450070323488
df51,0.162025316455696,0.148818793288779,0.174120956399437
df52,0.380309423347398,0.362876344605009,0.396898620233247
df53,0.40056258790436,0.383973391018511,0.416596343178622
df54,0.326863572433193,0.311673699015471,0.342890181414682
df55,0.339521800281294,0.324339073156345,0.355555555555556
df56,0.257102672292546,0.242763827024137,0.270886075949367
df57,0.331364275668073,0.315330520393812,0.346272855133615
df58,0.320956399437412,0.305485232067511,0.336413274221769
