PRS,prop,low_ci,high_ci
df1,0.0303030303030303,0,0.0909090909090909
df2,0.181818181818182,0.0606060606060606,0.303030303030303
df3,0.0606060606060606,0,0.151515151515152
df4,0.181818181818182,0.0606060606060606,0.333333333333333
df5,0.0909090909090909,0,0.211351361490743
df6,0.0606060606060606,0,0.151515151515152
df7,0.0909090909090909,0,0.212121212121212
df8,0.121212121212121,0.0303030303030303,0.242424242424242
df9,0.0606060606060606,0,0.151515151515152
df10,0.0909090909090909,0,0.212121212121212
df11,0.151515151515152,0.0303030303030303,0.272727272727273
df12,0.0606060606060606,0,0.151515151515152
df13,0.272727272727273,0.121212121212121,0.453775603914985
df14,0.0606060606060606,0,0.151515151515152
df15,0.0909090909090909,0,0.212121212121212
df16,0.0909090909090909,0,0.181818181818182
df17,0.0606060606060606,0,0.151515151515152
df18,0.0303030303030303,0,0.0909090909090909
df19,0.151515151515152,0.0303030303030303,0.272727272727273
df20,0.181818181818182,0.0606060606060606,0.333333333333333
df21,0.151515151515152,0.0303030303030303,0.272727272727273
df22,0.121212121212121,0.0303030303030303,0.242424242424242
df23,0.0909090909090909,0,0.181818181818182
df24,0.151515151515152,0.0606060606060606,0.272727272727273
df25,0.151515151515152,0.0303030303030303,0.303030303030303
df26,0.121212121212121,0.0303030303030303,0.242424242424242
df27,0.151515151515152,0.0303030303030303,0.272727272727273
df28,0.0303030303030303,0,0.0909090909090909
df29,0.0303030303030303,0,0.0909090909090909
df30,0.0606060606060606,0,0.151515151515152
df31,0.121212121212121,0.0303030303030303,0.242424242424242
df32,0.121212121212121,0.0303030303030303,0.242424242424242
df33,0.363636363636364,0.212121212121212,0.545454545454545
df34,0.151515151515152,0.0303030303030303,0.272727272727273
df35,0.303030303030303,0.151515151515152,0.454545454545455
df36,0.151515151515152,0.0303030303030303,0.302260452399834
df37,0.151515151515152,0.0303030303030303,0.303030303030303
df38,0.121212121212121,0.0303030303030303,0.242424242424242
df39,0.242424242424242,0.0916789415395613,0.393939393939394
df40,0.151515151515152,0.0606060606060606,0.302260452399834
df41,0.212121212121212,0.0909090909090909,0.363636363636364
df42,0.121212121212121,0.0303030303030303,0.242424242424242
df43,0.212121212121212,0.0909090909090909,0.363636363636364
df44,0.181818181818182,0.0606060606060606,0.303030303030303
df45,0.121212121212121,0.0303030303030303,0.242424242424242
df46,0.0303030303030303,0,0.0909090909090909
df47,0.121212121212121,0.0303030303030303,0.242424242424242
df48,0.0303030303030303,0,0.0909090909090909
df49,0.0303030303030303,0,0.0909090909090909
df50,0.0909090909090909,0,0.181818181818182
df51,0.0606060606060606,0,0.151515151515152
df52,0.272727272727273,0.121212121212121,0.424242424242424
df53,0.272727272727273,0.121212121212121,0.424242424242424
df54,0.212121212121212,0.0909090909090909,0.363636363636364
df55,0.151515151515152,0.0310728809335007,0.272727272727273
df56,0.0909090909090909,0,0.181818181818182
df57,0.121212121212121,0.0303030303030303,0.242424242424242
df58,0.151515151515152,0.0303030303030303,0.272727272727273
