PRS,prop,low_ci,high_ci
df1,0.154696132596685,0.104972375690608,0.209944751381215
df2,0.12707182320442,0.0828729281767956,0.176795580110497
df3,0.160220994475138,0.110497237569061,0.215469613259669
df4,0.121546961325967,0.0828729281767956,0.171270718232044
df5,0.12707182320442,0.0828729281767956,0.176795580110497
df6,0.110497237569061,0.0662983425414365,0.160220994475138
df7,0.0883977900552486,0.0497237569060774,0.12707182320442
df8,0.138121546961326,0.0939226519337017,0.193370165745856
df9,0.110497237569061,0.0662983425414365,0.160220994475138
df10,0.0994475138121547,0.0607734806629834,0.138121546961326
df11,0.132596685082873,0.0883977900552486,0.176795580110497
df12,0.154696132596685,0.104972375690608,0.204419889502762
df13,0.18232044198895,0.12707182320442,0.237569060773481
df14,0.104972375690608,0.0662983425414365,0.154555773089472
df15,0.138121546961326,0.0883977900552486,0.193370165745856
df16,0.12707182320442,0.0828729281767956,0.18232044198895
df17,0.132596685082873,0.0828729281767956,0.187704944360191
df18,0.149171270718232,0.0994475138121547,0.204419889502762
df19,0.116022099447514,0.0718232044198895,0.165745856353591
df20,0.110497237569061,0.0718232044198895,0.154696132596685
df21,0.132596685082873,0.0828729281767956,0.187845303867403
df22,0.143646408839779,0.0994475138121547,0.198895027624309
df23,0.121546961325967,0.0718232044198895,0.171270718232044
df24,0.104972375690608,0.0662983425414365,0.154696132596685
df25,0.149171270718232,0.0994475138121547,0.209944751381215
df26,0.18232044198895,0.12707182320442,0.237569060773481
df27,0.149171270718232,0.0994475138121547,0.204419889502762
df28,0.0939226519337017,0.0552486187845304,0.132596685082873
df29,0.138121546961326,0.0883977900552486,0.193370165745856
df30,0.132596685082873,0.0828729281767956,0.182180082481738
df31,0.110497237569061,0.0662983425414365,0.160220994475138
df32,0.116022099447514,0.0718232044198895,0.160220994475138
df33,0.171270718232044,0.116162458954727,0.226519337016575
df34,0.132596685082873,0.0883977900552486,0.187845303867403
df35,0.160220994475138,0.110497237569061,0.215469613259669
df36,0.149171270718232,0.0994475138121547,0.204419889502762
df37,0.193370165745856,0.143646408839779,0.25414364640884
df38,0.165745856353591,0.110497237569061,0.220994475138122
df39,0.154696132596685,0.104972375690608,0.204419889502762
df40,0.121546961325967,0.0718232044198895,0.171270718232044
df41,0.116022099447514,0.0718232044198895,0.160220994475138
df42,0.110497237569061,0.0662983425414365,0.154696132596685
df43,0.12707182320442,0.0828729281767956,0.176795580110497
df44,0.110497237569061,0.0662983425414365,0.160080634967926
df45,0.165745856353591,0.116022099447514,0.220994475138122
df46,0.160220994475138,0.110497237569061,0.215469613259669
df47,0.110497237569061,0.0718232044198895,0.160220994475138
df48,0.104972375690608,0.0607734806629834,0.149171270718232
df49,0.110497237569061,0.0662983425414365,0.154696132596685
df50,0.0939226519337017,0.0552486187845304,0.138121546961326
df51,0.0994475138121547,0.0552486187845304,0.143646408839779
df52,0.171270718232044,0.116022099447514,0.226519337016575
df53,0.193370165745856,0.132596685082873,0.248618784530387
df54,0.149171270718232,0.0994475138121547,0.204419889502762
df55,0.149171270718232,0.0994475138121547,0.204419889502762
df56,0.160220994475138,0.104972375690608,0.215469613259669
df57,0.121546961325967,0.0773480662983425,0.171270718232044
df58,0.121546961325967,0.0718232044198895,0.171270718232044
