PRS,Group,HR,CI_lower,CI_upper
PGS000010,Total,1.206193115,1.17877822,1.234245599
PGS000011,Total,1.187851089,1.160339047,1.216015451
PGS000012,Total,1.20260887,1.174522137,1.231367251
PGS000013,Total,1.369291864,1.337194941,1.402159216
PGS000018,Total,1.370904802,1.338738756,1.403843705
PGS000019,Total,1.278569152,1.248940732,1.308900443
PGS000057,Total,1.168647759,1.141526087,1.19641382
PGS000058,Total,1.358859671,1.327380834,1.391085027
PGS000059,Total,1.213814066,1.185814183,1.242475092
PGS000200,Total,1.169896965,1.142809296,1.197626684
PGS000296,Total,1.330916138,1.299812038,1.36276455
PGS000329,Total,1.967954358,1.922224991,2.014771618
PGS000337,Total,1.761838378,1.71948897,1.805230812
PGS000349,Total,1.096463857,1.071022416,1.122509642
PGS000746,Total,1.291136816,1.261093429,1.321895935
PGS000747,Total,1.229822421,1.201101166,1.259230471
PGS000748,Total,1.224544438,1.196019699,1.253749485
PGS000749,Total,1.230494485,1.201882373,1.259787738
PGS000798,Total,1.315585325,1.284979025,1.346920621
PGS000818,Total,1.267763356,1.238228308,1.298002895
PGS000899,Total,1.361928866,1.33034242,1.394265272
PGS000962,Total,1.46293035,1.42890006,1.497771096
PGS001355,Total,1.381913133,1.349401816,1.415207749
PGS001780,Total,1.369812458,1.337572401,1.402829611
PGS001839,Total,1.877209172,1.831954221,1.923582061
PGS002048,Total,1.9024231,1.857085734,1.948867296
PGS002244,Total,1.318871368,1.288064698,1.350414841
PGS002262,Total,1.202476014,1.174291131,1.23133738
PGS002775,Total,1.267254972,1.23776711,1.297445336
PGS002776,Total,1.368644381,1.336780046,1.401268255
PGS002809,Total,1.318276409,1.287707982,1.349570489
PGS003355,Total,1.381365062,1.348985424,1.414521907
PGS003356,Total,1.864760859,1.819796768,1.910835936
PGS003438,Total,1.369038061,1.337337162,1.401490413
PGS003446,Total,1.690900823,1.649683115,1.733148364
PGS003725,Total,1.533034099,1.496365605,1.570601157
PGS003726,Total,1.535211254,1.498815148,1.572491175
PGS003727,Total,1.491630653,1.456392448,1.527721466
PGS003866,Total,1.623739918,1.585162981,1.663255673
PGS004196,Total,1.550954151,1.515149659,1.587604738
PGS004197,Total,1.853656031,1.809555915,1.898830898
PGS004198,Total,1.652482792,1.613826096,1.692065449
PGS004199,Total,1.666433093,1.627475615,1.70632311
PGS004200,Total,1.755481684,1.714066275,1.797897775
PGS004321,Total,1.219769166,1.191976005,1.248210376
PGS004443,Total,1.84489985,1.801717093,1.889117593
PGS004444,Total,1.958805388,1.912880919,2.005832413
PGS004513,Total,1.716039268,1.675160511,1.757915585
PGS004514,Total,1.760834065,1.718890342,1.803801283
PGS004595,Total,1.256078244,1.22680177,1.286053374
PGS004596,Total,1.190744588,1.163136579,1.219007896
PGS004696,Total,1.897054032,1.850691883,1.94457761
PGS004697,Total,1.975869465,1.927555406,2.025394513
PGS004698,Total,1.741312814,1.699052364,1.784624405
