Exposure,Term,HR,CI_lower,CI_upper,P_value
df1,df1,1.18314112141309,1.10934942200151,1.26184129672421,3.08181490703881e-07
df2,df2,1.20471880176604,1.13067973128865,1.28360609212873,8.64882974473609e-09
df3,df3,1.17579577192654,1.10338673445771,1.25295660542792,5.91918307791991e-07
df4,df4,1.37655816336997,1.29232535124248,1.46628120799354,3.40240887739088e-23
df5,df5,1.35544519153495,1.2703853180158,1.44620033087659,3.65980418706287e-20
df6,df6,1.27747048002561,1.19731550075844,1.36299148077772,1.29260063570976e-13
df7,df7,1.18843921339731,1.11495993683926,1.26676099945289,1.14641303109725e-07
df8,df8,1.34750099521294,1.2640765495788,1.43643115023762,5.86252912917368e-20
df9,df9,1.22993325236765,1.1534998358707,1.31143131384828,2.57505826883306e-10
df10,df10,1.18554096797644,1.11264314191481,1.26321489236136,1.46712690789114e-07
df11,df11,1.38435156348516,1.29803056537661,1.47641303867739,4.12670467916873e-23
df12,df12,1.43707964591512,1.34243522916445,1.53839668673544,1.76763514743977e-25
df13,df13,1.75867871993069,1.64664062258332,1.87833993496692,2.05370092457172e-63
df14,df14,1.07921566274426,1.01251025706446,1.15031570158047,0.0191842003611568
df15,df15,1.30570988490146,1.22283811908042,1.39419787208748,1.54576760657788e-15
df16,df16,1.21900753951091,1.14544369136013,1.29729587983496,4.49225793245309e-10
df17,df17,1.24686604337396,1.16947356278096,1.32938014128518,1.49375081596094e-11
df18,df18,1.24373073084869,1.16657866118084,1.3259852784309,2.46244545487945e-11
df19,df19,1.27875467604233,1.198927142995,1.36389732358152,7.627565100828e-14
df20,df20,1.28332052038647,1.20415902952121,1.36768609267484,1.60217613030442e-14
df21,df21,1.35130165293353,1.26719098717577,1.44099522147848,4.22768266646158e-20
df22,df22,1.33411261206281,1.25079677184059,1.42297813820381,1.92363848289641e-18
df23,df23,1.39171702898176,1.30528801502031,1.4838688982582,5.26833565856884e-24
df24,df24,1.38553605120587,1.30070326425126,1.47590169253263,4.70608500971188e-24
df25,df25,1.78000852538194,1.66724434565676,1.90039951773493,8.0848092197823e-67
df26,df26,1.78219726003857,1.66977882708334,1.90218430259833,1.11701875134659e-67
df27,df27,1.35329994670088,1.26963879690421,1.44247383602816,1.50647965631985e-20
df28,df28,1.21174502739255,1.13689704079568,1.29152065554058,3.54510005293467e-09
df29,df29,1.24703601509867,1.16873885053841,1.33057853106943,2.50563307372623e-11
df30,df30,1.30661503254089,1.22451598580874,1.39421850187955,6.61144303504628e-16
df31,df31,1.29818521414764,1.21675843847906,1.38506115670597,2.87399954728585e-15
df32,df32,1.35987217271584,1.27653326906443,1.44865188471132,1.62567766982052e-21
df33,df33,1.86921594475086,1.75153897361387,1.99479903144941,2.68493240561605e-79
df34,df34,1.35477472829633,1.27097020279461,1.44410510993466,1.16345084216955e-20
df35,df35,1.56264192028547,1.46702942240949,1.66448588810365,1.15593182971542e-43
df36,df36,1.55522824034492,1.45617184969166,1.66102296241923,1.64769851472324e-39
df37,df37,1.55516071260895,1.45767769486282,1.65916296213202,9.06073935810093e-41
df38,df38,1.52564011908219,1.43135303262244,1.62613815034063,1.62604939037253e-38
df39,df39,1.62529441195505,1.5232990937824,1.7341190159663,7.67202481416838e-49
df40,df40,1.44694971184629,1.35921541626202,1.54034705872441,5.39493681349288e-31
df41,df41,1.66877399660532,1.56654503111288,1.77767417880592,9.13522037296574e-57
df42,df42,1.54968298145323,1.45618575737196,1.64918337571157,2.66073521634582e-43
df43,df43,1.54515238885074,1.45080782191419,1.64563208766072,9.49446752757902e-42
df44,df44,1.62954838637589,1.53018277018708,1.73536651652117,2.94432946528523e-52
df45,df45,1.22067994933624,1.14559685515896,1.30068403383037,7.42875569040487e-10
df46,df46,1.47623233361471,1.37945473316101,1.57979950368924,2.09397034267248e-29
df47,df47,1.46737817575922,1.37054002071888,1.57105861787607,3.45574324428113e-28
df48,df48,1.45178220164405,1.35599910496858,1.5543310856826,9.6130051414589e-27
df49,df49,1.45142600068871,1.35504562288188,1.55466162902684,2.23345036188168e-26
df50,df50,1.23722889785699,1.16110054280149,1.31834866083094,5.03150669324899e-11
df51,df51,1.22117435538804,1.14543297952546,1.3019241046082,9.57249926173305e-10
df52,df52,1.8692417456751,1.75032480956222,1.99623788949686,1.20926763101316e-77
df53,df53,1.9579536983026,1.830594436911,2.09417367790418,2.29718461413263e-85
df54,df54,1.65667023610683,1.55254545777758,1.76777836517006,1.8566969484533e-52
df55,df55,1.65914090690498,1.55211670831975,1.7735448205731,4.30316962328649e-50
df56,df56,1.54857349723282,1.44946550580899,1.65445805141354,2.05860577331592e-38
df57,df57,1.76226144148316,1.64588478483878,1.88686681883538,2.06180140131745e-59
df58,df58,1.70323884649623,1.59334648846003,1.8207104287892,3.33532067837274e-55
