Exposure,Term,HR,CI_lower,CI_upper,P_value
df1,df1,1.21033897478903,1.18090768378135,1.24050377011907,3.56922530061459e-52
df2,df2,1.18489268752692,1.15538314869912,1.21515592687633,1.07612502317176e-39
df3,df3,1.20494857715056,1.17462829294114,1.23605150863662,1.25913066204628e-46
df4,df4,1.3694647875376,1.33485186275771,1.40497523105738,4.78535308141767e-128
df5,df5,1.37372829082234,1.33911558211278,1.4092356494189,2.29875337411654e-131
df6,df6,1.27882603816524,1.24706118086728,1.31140000264626,7.28659543412844e-82
df7,df7,1.16582742881943,1.13675253895113,1.1956459714986,1.08443633509258e-32
df8,df8,1.36071399909174,1.32685994484624,1.3954318197003,6.98363844938429e-127
df9,df9,1.21161923086807,1.18163051058158,1.24236903792099,6.12607747352227e-51
df10,df10,1.16747314114612,1.13841181863188,1.197276339713,2.19929070398811e-33
df11,df11,1.32428717795213,1.29102586332226,1.35840541968341,7.21739604094366e-104
df12,df12,2.05486976815911,2.00406183115545,2.10696581235708,0
df13,df13,1.76395476179701,1.71835877442433,1.81076062110997,0
df14,df14,1.09937996285987,1.07196613248441,1.12749485838383,1.92332574861663e-13
df15,df15,1.28920843073694,1.25709254315407,1.32214480702676,1.04319759685456e-86
df16,df16,1.23347893364057,1.2023625313017,1.26540060932198,2.67379029086667e-58
df17,df17,1.22326056630704,1.19263186889307,1.25467585774867,1.05162410885222e-54
df18,df18,1.23080192050615,1.20004457386947,1.26234758317102,3.337699455304e-58
df19,df19,1.3213212021057,1.28832009856557,1.35516764900117,2.1503708318372e-103
df20,df20,1.26530708467779,1.23360418565556,1.29782472948161,7.96137221009888e-74
df21,df21,1.36340554414943,1.32946509698151,1.3982124705928,2.41558797836692e-128
df22,df22,1.48337460153303,1.44633334180728,1.52136450489603,3.84927344237531e-205
df23,df23,1.38188673629701,1.34688862212439,1.41779425602517,7.6791630788053e-135
df24,df24,1.36900864316103,1.33423786098573,1.40468556608412,1.53191795403982e-126
df25,df25,1.89214336800425,1.8430177538714,1.94257842473952,0
df26,df26,1.92116188141601,1.8719186849049,1.97170048270201,0
df27,df27,1.31518392196911,1.28212460349276,1.34909566815422,9.15389119221426e-99
df28,df28,1.20017757394198,1.1698938226373,1.23124524732175,1.69393586142882e-44
df29,df29,1.27130471527761,1.23958181571644,1.30383945504475,2.26985592774508e-77
df30,df30,1.37941597279401,1.34498096843017,1.41473260266287,2.84535592992025e-137
df31,df31,1.32170220506354,1.28884132337958,1.35540092265907,1.52059752218887e-104
df32,df32,1.38655226888595,1.35152146122028,1.42249105879306,2.69948292496819e-138
df33,df33,1.86268860406588,1.81419257956169,1.91248099832663,0
df34,df34,1.3709698979313,1.33687400226317,1.40593538198206,3.77460327980307e-133
df35,df35,1.71579274277406,1.67037171239545,1.7624488695,0
df36,df36,1.5285617334089,1.48926615946638,1.5688941550107,9.01175889433395e-224
df37,df37,1.53039582338484,1.49134107568709,1.57047332392069,2.27644102439972e-228
df38,df38,1.48409725285849,1.44626197397103,1.52292233051979,2.8287965267482e-197
df39,df39,1.62359050099042,1.58209499436135,1.66617436013722,1.07665680140236e-294
df40,df40,1.56767157644353,1.52867556449022,1.60766236386366,4.15526171005777e-268
df41,df41,1.88585214916172,1.83735460593508,1.93562980004501,0
df42,df42,1.6694126520504,1.62720906988865,1.71271083378159,0
df43,df43,1.68624998655662,1.64373654532365,1.72986299127537,0
df44,df44,1.77668800152912,1.73139520878325,1.82316564049861,0
df45,df45,1.21976846102527,1.18996269601724,1.25032079030013,8.13585098980597e-56
df46,df46,1.90426522984335,1.85682977929786,1.95291248881283,0
df47,df47,2.03839566916578,1.98753296535588,2.09055999397213,0
df48,df48,1.75806033249272,1.71332563034458,1.80396305170711,0
df49,df49,1.8094014633967,1.76341544045473,1.8565867013719,0
df50,df50,1.25972648939722,1.22812599015496,1.29214009052021,5.56094142724967e-71
df51,df51,1.18651486989302,1.15696550858189,1.21681893369737,2.60387239679477e-40
df52,df52,1.9025333215855,1.85238055619572,1.95404396123489,0
df53,df53,1.98061349170336,1.92854636914292,2.03408632858578,0
df54,df54,1.7570766042608,1.71103735820201,1.8043546381038,0
df55,df55,1.77930006124889,1.73365711523577,1.82614467424819,0
df56,df56,1.55875483073146,1.51857342529602,1.59999943490057,2.44566419450358e-243
df57,df57,1.81672284847454,1.7687415556247,1.8660057472352,0
df58,df58,1.74495443950283,1.69925727230055,1.79188051484301,0
