"Exposure","Term","OR","CI_lower","CI_upper","P_value"
"df1","df1",1.03605494538368,0.82111268278472,1.3072625382105,0.765263188067919
"df2","df2",1.16521255740072,0.931449573921317,1.45764230500256,0.180765016689559
"df3","df3",1.13604810744558,0.902263788187988,1.4304079575471,0.277881778465934
"df4","df4",1.21226434116523,0.978805511242325,1.50140637336169,0.0777799494460113
"df5","df5",1.42290735440957,1.10072604734512,1.83939077676612,0.00708813748932086
"df6","df6",1.13414624857146,0.888436020637884,1.44781130353672,0.312278351868935
"df7","df7",1.17168881412349,0.930463816535079,1.47545197647172,0.177915444281751
"df8","df8",1.2356869065459,0.970248949379067,1.57374262758663,0.0863064365892044
"df9","df9",1.07378180930154,0.840315135394715,1.37211306261346,0.56928081266201
"df10","df10",1.00674266684314,0.80956377079934,1.25194683087376,0.951817715935891
"df11","df11",1.31787566810987,1.03126101284686,1.68414810116937,0.0273826729919352
"df12","df12",1.23724767478829,0.959648845261497,1.59514786718876,0.100534265797306
"df13","df13",1.23257835472326,0.96269631578013,1.5781190554377,0.0972210915579744
"df14","df14",0.910898609074875,0.719076812539214,1.15389101907565,0.439201578005571
"df15","df15",1.24211035144106,0.962076119841826,1.60365494303162,0.0962351267878864
"df16","df16",1.16960229495424,0.895029415453134,1.52840734029915,0.251123995441121
"df17","df17",1.42680997077868,1.10105320067387,1.84894489336891,0.00718772396305886
"df18","df18",1.43282972063261,1.11163590805059,1.84682861848925,0.00548217334541122
"df19","df19",1.21153388630255,0.95375923781583,1.5389778672244,0.115923932360919
"df20","df20",1.11051103117702,0.874996361541915,1.40941700396632,0.38872205167212
"df21","df21",1.21587834503029,0.956399844533893,1.54575532227745,0.110487418455472
"df22","df22",1.12341021509122,0.883477257555536,1.42850367746107,0.342456368298311
"df23","df23",1.28991779006314,1.02180372872293,1.62838308214135,0.032238947962826
"df24","df24",1.32279695672268,1.05058101009741,1.66554675165179,0.0173242941328969
"df25","df25",1.31257578508153,1.03678832890928,1.66172317294009,0.0238077373910774
"df26","df26",1.17832408295771,0.935471154997847,1.48422282938411,0.163461570890578
"df27","df27",1.17474781865356,0.928585272000727,1.48616662254172,0.179460665308175
"df28","df28",1.05011501019397,0.839721849209378,1.31322239104884,0.668164930381112
"df29","df29",1.32508045850947,1.02324268117817,1.71595483048261,0.0328250799619358
"df30","df30",1.35540234862521,1.05814752583255,1.73616200180904,0.01606441576885
"df31","df31",1.05587568245472,0.825695316587308,1.35022378642903,0.664744656217002
"df32","df32",1.34816516479623,1.05987264128202,1.714875203658,0.0149451477978444
"df33","df33",1.6704723901186,1.33113005940142,2.09632258428856,9.47497530521126e-06
"df34","df34",1.49982351497649,1.1799795263897,1.9063640730776,0.000924982647881895
"df35","df35",1.10096076338601,0.948464570600934,1.27797562511747,0.206075479255192
"df36","df36",1.36975746858437,1.08858165462445,1.72355974838649,0.00727363530552052
"df37","df37",1.58465870301805,1.25937855798629,1.99395423173323,8.58681857052963e-05
"df38","df38",1.5780498782538,1.25713175822292,1.98089134409988,8.39895812937511e-05
"df39","df39",1.21897242960427,0.966739671748305,1.53701542158517,0.0941258716523484
"df40","df40",1.19972971844376,0.997920372001624,1.44235095073778,0.052642036073292
"df41","df41",1.11026539484196,0.925371838234411,1.33210153589233,0.260389855757506
"df42","df42",1.1389077673048,0.955294719489954,1.35781228134469,0.147027988696571
"df43","df43",1.16981527703131,0.969657396951375,1.41128999446437,0.101384414627069
"df44","df44",1.06956766612302,0.893148005990414,1.28083473818798,0.464607614310396
"df45","df45",0.985911819290328,0.788170350225135,1.23326399570691,0.901133273821944
"df46","df46",1.18265285922129,0.926024833677045,1.51039986678379,0.178884753987467
"df47","df47",1.05864230535328,0.829372712243473,1.3512905767687,0.64721850273704
"df48","df48",1.21887058931877,0.949837097726275,1.56410558932961,0.119820296702925
"df49","df49",1.1272889165996,0.877465653749653,1.44823936533346,0.348575744674695
"df50","df50",1.14501609421138,0.913153841487017,1.43575134488632,0.240784477069373
"df51","df51",1.1977404639756,0.942641663386945,1.52187440335491,0.139780893039697
"df52","df52",1.38201925020788,1.14665706886062,1.66569173976577,0.000681995402940759
"df53","df53",1.59728408626732,1.28211716894652,1.98992456698725,2.96526031129008e-05
"df54","df54",1.14526493678101,0.9690309881857,1.35354987756971,0.111611044018416
"df55","df55",1.29670797349071,1.00909229963175,1.66630106000016,0.0422812236494038
"df56","df56",1.21936487986953,0.95689465138617,1.55382905328749,0.108777615828022
"df57","df57",1.16513295909813,0.910122583198012,1.49159556903491,0.225234416300448
"df58","df58",1.26065944182424,0.987161240381702,1.60993175506576,0.0633912146581475
