"","level","Overall"
"n","","207"
"Sex (%)","Female","137 (66.2)"
"","Male","70 (33.8)"
"Age (mean (SD))","","48.42 (5.41)"
"Smoking (%)","0","115 (55.6)"
"","1","63 (30.4)"
"","2","29 (14.0)"
"Townsend Deprivation Index (mean (SD))","","0.02 (3.37)"
"LE8 Diet Score (mean (SD))","","51.68 (34.43)"
"LE8 PA Score (mean (SD))","","32.34 (30.16)"
"LE8 Smoking Score (mean (SD))","","79.31 (35.99)"
"LE8 Sleep Health Points (mean (SD))","","86.29 (21.24)"
"LE8 BMI Points (mean (SD))","","64.34 (31.85)"
"LE8 Blood Lipid Points (mean (SD))","","54.92 (29.39)"
"LE8 HbA1c Score (mean (SD))","","95.74 (13.33)"
"LE8 BP Score (mean (SD))","","56.85 (28.53)"
"LE8 Composite Score (mean (SD))","","65.18 (11.08)"
"Race (%)","Black","2 (1.0)"
"","Other","8 (3.9)"
"","South Asian","9 (4.3)"
"","White","188 (90.8)"
"Alcohol intake frequency (%)","1-2x/wk","57 (27.5)"
"","1-3x/mo","19 (9.2)"
"","3-4x/wk","36 (17.4)"
"","Daily or almost Daily","27 (13.0)"
"","Never","37 (17.9)"
"","Special Occasions Only","31 (15.0)"
"Chronic Kidney Disease (%)","0","199 (96.1)"
"","1","8 (3.9)"
"Rheumatoid arthritis (%)","0","206 (99.5)"
"","1","1 (0.5)"
"Pooled Cohort Equation Risk (mean (SD))","","0.02 (0.01)"
"Apolipoprotein B (mean (SD))","","0.98 (0.19)"
"Lipoprotein A (mean (SD))","","34.93 (39.08)"
"Age of CAD Onset (mean (SD))","","52.76 (5.44)"
"C Reactive Protein (mean (SD))","","2.65 (3.92)"
"Family Heart Disease History (%)","both_parents","17 (8.2)"
"","father","37 (17.9)"
"","mother","26 (12.6)"
"","no_history","127 (61.4)"
"Familial Hypercholesterolemia Variant Status (%)","1","1 (100.0)"
