"","level","Overall"
"n","","831"
"Sex (%)","Female","282 (33.9)"
"","Male","549 (66.1)"
"Age (mean (SD))","","59.83 (6.40)"
"Smoking (%)","0","349 (42.0)"
"","1","359 (43.2)"
"","2","123 (14.8)"
"Townsend Deprivation Index (mean (SD))","","-1.12 (3.27)"
"LE8 Diet Score (mean (SD))","","51.64 (32.21)"
"LE8 PA Score (mean (SD))","","31.39 (28.99)"
"LE8 Smoking Score (mean (SD))","","77.04 (35.02)"
"LE8 Sleep Health Points (mean (SD))","","87.16 (21.59)"
"LE8 BMI Points (mean (SD))","","57.78 (29.21)"
"LE8 Blood Lipid Points (mean (SD))","","51.53 (29.52)"
"LE8 HbA1c Score (mean (SD))","","79.71 (28.37)"
"LE8 BP Score (mean (SD))","","39.65 (26.18)"
"LE8 Composite Score (mean (SD))","","59.49 (11.84)"
"Race (%)","Other","7 (0.8)"
"","South Asian","24 (2.9)"
"","White","800 (96.3)"
"Alcohol intake frequency (%)","1-2x/wk","213 (25.6)"
"","1-3x/mo","109 (13.1)"
"","3-4x/wk","189 (22.7)"
"","Daily or almost Daily","143 (17.2)"
"","Never","75 (9.0)"
"","Special Occasions Only","102 (12.3)"
"Chronic Kidney Disease (%)","0","744 (89.5)"
"","1","87 (10.5)"
"Rheumatoid arthritis (%)","0","790 (95.1)"
"","1","41 (4.9)"
"Pooled Cohort Equation Risk (mean (SD))","","0.13 (0.08)"
"Apolipoprotein B (mean (SD))","","0.98 (0.23)"
"Lipoprotein A (mean (SD))","","61.77 (57.99)"
"Age of CAD Onset (mean (SD))","","59.90 (8.46)"
"C Reactive Protein (mean (SD))","","3.02 (4.77)"
"Family Heart Disease History (%)","both_parents","831 (100.0)"
"Familial Hypercholesterolemia Variant Status (%)","1","6 (100.0)"
