"","Overall"
"n","26"
"Sex = Male (%)","16 (61.5)"
"Age (mean (SD))","46.88 (4.13)"
"Townsend Deprivation Index (mean (SD))","-0.61 (3.19)"
"LE8 Diet Score (mean (SD))","56.30 (37.88)"
"LE8 PA Score (mean (SD))","26.09 (17.51)"
"LE8 Smoking Score (mean (SD))","93.48 (18.80)"
"LE8 Sleep Health Points (mean (SD))","93.48 (12.65)"
"LE8 BMI Points (mean (SD))","62.61 (33.02)"
"LE8 Blood Lipid Points (mean (SD))","80.87 (22.95)"
"LE8 HbA1c Score (mean (SD))","98.26 (8.34)"
"LE8 BP Score (mean (SD))","69.57 (22.56)"
"LE8 Composite Score (mean (SD))","72.58 (11.08)"
"Race = White (%)","22 (84.6)"
"Alcohol intake frequency (%)",""
"   1-2x/wk","8 (32.0)"
"   1-3x/mo","2 (8.0)"
"   3-4x/wk","4 (16.0)"
"   Daily or almost Daily","2 (8.0)"
"   Never","4 (16.0)"
"   Special Occasions Only","5 (20.0)"
"Chronic Kidney Disease = 1 (%)","1 (3.8)"
"Rheumatoid arthritis = 0 (%)","26 (100.0)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.01)"
"Apolipoprotein B (mean (SD))","0.82 (0.12)"
"Lipoprotein A (mean (SD))","32.83 (37.53)"
"Age of CAD Onset (mean (SD))","49.16 (6.13)"
"C Reactive Protein (mean (SD))","2.79 (5.04)"
"Family Heart Disease History (%)",""
"   both_parents","2 (7.7)"
"   father","3 (11.5)"
"   mother","2 (7.7)"
"   no_history","19 (73.1)"
